opportunity_id,sale_id,account_id,opportunity_name,stage_name,amount,probability,close_date,created_date,lead_source,type,campaign_id
OPP00000086,,ACC011104,Opportunity 86,Interessent,25323.02,20.8,2021-10-02,2021-04-18,Telefonakquise,Neukunde,
OPP00000087,87,ACC017785,Opportunity 87,Closed Won,20192.52,100.0,2021-08-11,2021-07-08,Webseite,Bestandskunde - Upgrade,
OPP00000088,88,ACC001924,Opportunity 88,Closed Won,11090.67,100.0,2024-09-22,2024-08-22,Partner,Bestandskunde - Upgrade,
OPP00000089,,ACC003609,Opportunity 89,Qualifizierung,30677.58,17.8,2022-06-10,2022-04-27,Partner,Bestandskunde - Upgrade,
OPP00000090,90,ACC004700,Opportunity 90,Closed Won,36152.02,100.0,2021-04-04,2021-02-21,Empfehlung,Bestandskunde - Zusatzprodukt,389
OPP00000091,,ACC010241,Opportunity 91,Interessent,25667.26,15.1,2022-08-03,2022-02-12,Webseite,Neukunde,
OPP00000092,,ACC012459,Opportunity 92,Qualifizierung,10208.17,22.8,2023-06-09,2023-02-25,Telefonakquise,Neukunde,
OPP00000093,,ACC009273,Opportunity 93,Closed Lost,5851.45,0.0,2023-01-10,2022-11-01,Partner,Bestandskunde - Zusatzprodukt,13788
OPP00000094,,ACC014580,Opportunity 94,Angebot,24770.72,48.2,2021-07-12,2021-02-12,Webseite,Neukunde,
OPP00000095,95,ACC018150,Opportunity 95,Closed Won,25735.46,100.0,2025-09-14,2025-03-23,Telefonakquise,Bestandskunde - Upgrade,
OPP00000096,,ACC014926,Opportunity 96,Interessent,20336.54,60.8,2023-11-23,2023-07-09,Social Media,Bestandskunde - Upgrade,
OPP00000097,97,ACC008784,Opportunity 97,Closed Won,39148.8,100.0,2025-04-02,2024-10-17,Empfehlung,Bestandskunde - Zusatzprodukt,
OPP00000098,,ACC012499,Opportunity 98,Angebot,37117.98,18.4,2022-09-09,2022-07-31,Telefonakquise,Bestandskunde - Upgrade,6393
OPP00000099,,ACC006656,Opportunity 99,Angebot,48114.05,56.6,2024-06-09,2024-04-01,Messe,Neukunde,
OPP00000100,,ACC006521,Opportunity 100,Qualifizierung,2960.35,36.9,2025-02-27,2024-12-03,Webseite,Bestandskunde - Upgrade,
OPP00000101,,ACC013747,Opportunity 101,Qualifizierung,44536.76,10.4,2022-02-09,2021-10-09,Partner,Bestandskunde - Zusatzprodukt,6896
OPP00000102,,ACC019877,Opportunity 102,Angebot,31550.3,22.9,2023-04-27,2023-01-14,Telefonakquise,Bestandskunde - Upgrade,10861
OPP00000103,103,ACC017395,Opportunity 103,Closed Won,13916.18,100.0,2021-12-26,2021-08-05,Webseite,Bestandskunde - Upgrade,2074
OPP00000104,,ACC002030,Opportunity 104,Verhandlung,15700.47,19.0,2023-01-06,2022-07-28,Messe,Bestandskunde - Upgrade,6081
OPP00000105,105,ACC016257,Opportunity 105,Closed Won,36164.37,100.0,2024-05-14,2023-12-11,Partner,Bestandskunde - Zusatzprodukt,
OPP00000106,,ACC016835,Opportunity 106,Qualifizierung,49168.3,55.9,2025-01-26,2024-11-22,Social Media,Bestandskunde - Zusatzprodukt,9157
OPP00000107,,ACC016606,Opportunity 107,Interessent,24993.27,37.0,2025-03-01,2024-12-15,Partner,Bestandskunde - Upgrade,
OPP00000108,,ACC005502,Opportunity 108,Interessent,18458.8,54.7,2024-11-22,2024-09-30,Telefonakquise,Bestandskunde - Zusatzprodukt,
OPP00000109,,ACC018567,Opportunity 109,Interessent,45234.22,54.7,2021-09-29,2021-08-03,Partner,Neukunde,15064
OPP00000110,,ACC015485,Opportunity 110,Closed Lost,24291.88,0.0,2022-08-03,2022-04-17,Empfehlung,Bestandskunde - Zusatzprodukt,
OPP00000111,111,ACC004815,Opportunity 111,Closed Won,42305.96,100.0,2025-06-21,2025-01-18,Partner,Bestandskunde - Zusatzprodukt,14279
OPP00000112,112,ACC019253,Opportunity 112,Closed Won,7725.93,100.0,2024-12-18,2024-07-12,Webseite,Bestandskunde - Zusatzprodukt,1026
OPP00000113,,ACC003305,Opportunity 113,Angebot,15117.25,19.1,2024-09-21,2024-08-03,Partner,Bestandskunde - Upgrade,12478
OPP00000114,,ACC012523,Opportunity 114,Closed Lost,19403.55,0.0,2024-05-25,2023-12-21,Partner,Neukunde,
OPP00000115,,ACC008683,Opportunity 115,Qualifizierung,12833.54,78.4,2022-02-07,2021-09-14,Telefonakquise,Bestandskunde - Upgrade,4515
OPP00000116,,ACC015458,Opportunity 116,Closed Lost,2508.71,0.0,2021-08-23,2021-07-05,Partner,Bestandskunde - Upgrade,13422
OPP00000117,,ACC015125,Opportunity 117,Angebot,31567.28,20.8,2025-03-18,2024-12-05,Partner,Neukunde,10755
OPP00000118,,ACC019057,Opportunity 118,Closed Lost,49136.19,0.0,2024-11-09,2024-05-30,Messe,Neukunde,1830
OPP00000119,,ACC005129,Opportunity 119,Angebot,24974.86,28.1,2022-02-09,2021-10-08,Partner,Neukunde,15356
OPP00000120,,ACC013152,Opportunity 120,Angebot,12240.83,65.1,2025-05-17,2025-03-10,Telefonakquise,Neukunde,
OPP00000121,,ACC009240,Opportunity 121,Interessent,24197.9,18.1,2024-02-20,2023-09-25,Messe,Bestandskunde - Zusatzprodukt,3444
OPP00000122,122,ACC007687,Opportunity 122,Closed Won,24140.5,100.0,2024-11-28,2024-08-01,Messe,Bestandskunde - Zusatzprodukt,13266
OPP00000123,,ACC012558,Opportunity 123,Angebot,14865.05,53.5,2023-10-11,2023-08-30,Webseite,Bestandskunde - Zusatzprodukt,
OPP00000124,124,ACC016303,Opportunity 124,Closed Won,17467.36,100.0,2021-10-14,2021-06-18,Social Media,Bestandskunde - Zusatzprodukt,14179
OPP00000125,125,ACC007500,Opportunity 125,Closed Won,32441.13,100.0,2023-05-06,2023-01-03,Social Media,Neukunde,
OPP00000126,126,ACC009619,Opportunity 126,Closed Won,43420.95,100.0,2025-01-22,2024-10-26,Messe,Neukunde,14875
OPP00000127,127,ACC007708,Opportunity 127,Closed Won,2793.02,100.0,2025-08-03,2025-05-02,Telefonakquise,Neukunde,15968
OPP00000128,,ACC003576,Opportunity 128,Closed Lost,43698.82,0.0,2021-08-21,2021-06-21,Empfehlung,Neukunde,365
OPP00000129,,ACC014553,Opportunity 129,Angebot,19965.08,21.0,2024-02-11,2023-09-06,Partner,Bestandskunde - Zusatzprodukt,
OPP00000130,,ACC016712,Opportunity 130,Qualifizierung,38562.03,33.4,2022-09-23,2022-05-17,Telefonakquise,Bestandskunde - Zusatzprodukt,
OPP00000131,,ACC019818,Opportunity 131,Qualifizierung,47139.66,40.8,2024-05-25,2024-01-19,Partner,Neukunde,6479
OPP00000132,,ACC002025,Opportunity 132,Verhandlung,33694.69,53.3,2023-06-28,2023-03-19,Messe,Bestandskunde - Zusatzprodukt,2332
OPP00000133,,ACC016963,Opportunity 133,Interessent,39946.14,58.3,2022-12-12,2022-10-02,Partner,Bestandskunde - Zusatzprodukt,
OPP00000134,,ACC010034,Opportunity 134,Verhandlung,4552.06,11.9,2021-06-27,2021-01-08,Webseite,Neukunde,5681
OPP00000135,135,ACC015674,Opportunity 135,Closed Won,24968.56,100.0,2023-12-21,2023-07-31,Empfehlung,Bestandskunde - Zusatzprodukt,
OPP00000136,,ACC001727,Opportunity 136,Angebot,4820.26,50.1,2025-01-03,2024-09-01,Messe,Neukunde,
OPP00000137,,ACC018544,Opportunity 137,Angebot,17187.07,71.6,2022-12-01,2022-07-31,Webseite,Bestandskunde - Zusatzprodukt,14065
OPP00000138,,ACC010337,Opportunity 138,Verhandlung,47184.11,72.7,2025-01-08,2024-09-10,Empfehlung,Bestandskunde - Upgrade,5696
OPP00000139,,ACC007175,Opportunity 139,Angebot,878.01,52.5,2022-11-15,2022-07-31,Social Media,Neukunde,13794
OPP00000140,140,ACC017078,Opportunity 140,Closed Won,6138.53,100.0,2024-04-14,2023-11-13,Empfehlung,Bestandskunde - Zusatzprodukt,10881
OPP00000141,,ACC013313,Opportunity 141,Verhandlung,31795.25,67.8,2025-05-17,2024-12-30,Social Media,Neukunde,9322
OPP00000142,,ACC002627,Opportunity 142,Angebot,26504.36,58.2,2022-03-02,2021-10-22,Messe,Bestandskunde - Upgrade,
OPP00000143,,ACC000556,Opportunity 143,Verhandlung,45083.01,41.1,2024-07-18,2024-05-25,Messe,Neukunde,10560
OPP00000144,,ACC014242,Opportunity 144,Closed Lost,20476.27,0.0,2023-06-18,2023-01-30,Social Media,Bestandskunde - Zusatzprodukt,13606
OPP00000145,,ACC014882,Opportunity 145,Closed Lost,5512.46,0.0,2024-10-27,2024-07-10,Webseite,Neukunde,14375
OPP00000146,146,ACC000892,Opportunity 146,Closed Won,626.2,100.0,2024-08-14,2024-04-25,Empfehlung,Bestandskunde - Zusatzprodukt,15484
OPP00000147,,ACC019761,Opportunity 147,Closed Lost,5785.17,0.0,2025-01-14,2024-10-09,Telefonakquise,Bestandskunde - Zusatzprodukt,6402
OPP00000148,,ACC010395,Opportunity 148,Angebot,13074.18,71.9,2022-09-03,2022-05-22,Webseite,Bestandskunde - Upgrade,13919
OPP00000149,,ACC010258,Opportunity 149,Qualifizierung,6923.49,73.7,2024-12-16,2024-09-18,Partner,Neukunde,5633
OPP00000150,,ACC014738,Opportunity 150,Closed Lost,6496.26,0.0,2021-10-31,2021-07-21,Partner,Neukunde,3821
OPP00000151,151,ACC019412,Opportunity 151,Closed Won,11278.82,100.0,2022-04-05,2021-11-09,Webseite,Neukunde,6228
OPP00000152,,ACC019618,Opportunity 152,Qualifizierung,47594.0,19.2,2021-12-18,2021-06-30,Telefonakquise,Neukunde,6571
OPP00000153,,ACC009586,Opportunity 153,Qualifizierung,49196.35,33.7,2021-06-02,2021-03-20,Partner,Neukunde,3747
OPP00000154,154,ACC009564,Opportunity 154,Closed Won,25138.04,100.0,2024-05-16,2024-01-18,Messe,Bestandskunde - Upgrade,5913
OPP00000155,155,ACC002167,Opportunity 155,Closed Won,22699.41,100.0,2021-02-19,2021-01-11,Telefonakquise,Neukunde,8911
OPP00000156,,ACC010860,Opportunity 156,Qualifizierung,25384.17,75.1,2024-12-17,2024-09-17,Partner,Bestandskunde - Zusatzprodukt,
OPP00000157,,ACC012845,Opportunity 157,Qualifizierung,39638.6,27.0,2022-12-19,2022-10-15,Empfehlung,Neukunde,11003
OPP00000158,,ACC007147,Opportunity 158,Closed Lost,23025.44,0.0,2024-09-05,2024-03-30,Webseite,Bestandskunde - Zusatzprodukt,11355
OPP00000159,,ACC001641,Opportunity 159,Verhandlung,34371.02,72.5,2021-05-11,2021-03-06,Empfehlung,Neukunde,7728
OPP00000160,160,ACC011904,Opportunity 160,Closed Won,36726.38,100.0,2024-10-25,2024-07-20,Telefonakquise,Neukunde,2086
OPP00000161,,ACC018175,Opportunity 161,Angebot,17437.02,74.1,2022-11-30,2022-08-18,Telefonakquise,Bestandskunde - Upgrade,10428
OPP00000162,,ACC009462,Opportunity 162,Angebot,1405.0,37.2,2022-08-24,2022-04-13,Partner,Bestandskunde - Upgrade,55
OPP00000163,163,ACC012923,Opportunity 163,Closed Won,39143.59,100.0,2022-06-12,2022-01-02,Webseite,Neukunde,
OPP00000164,164,ACC013323,Opportunity 164,Closed Won,19654.08,100.0,2022-12-28,2022-08-01,Empfehlung,Bestandskunde - Upgrade,1254
OPP00000165,,ACC013501,Opportunity 165,Interessent,33473.66,42.7,2023-05-13,2022-12-17,Webseite,Bestandskunde - Upgrade,
OPP00000166,166,ACC005434,Opportunity 166,Closed Won,30360.06,100.0,2021-05-22,2021-04-17,Empfehlung,Neukunde,
OPP00000167,,ACC019712,Opportunity 167,Qualifizierung,35203.15,74.5,2021-04-03,2021-01-08,Partner,Neukunde,
OPP00000168,,ACC007857,Opportunity 168,Qualifizierung,32146.21,25.9,2022-07-16,2022-05-14,Webseite,Bestandskunde - Zusatzprodukt,12123
OPP00000169,,ACC009142,Opportunity 169,Interessent,49611.21,42.4,2024-09-09,2024-03-26,Partner,Neukunde,
OPP00000170,,ACC002861,Opportunity 170,Verhandlung,17223.28,72.1,2023-11-29,2023-07-10,Telefonakquise,Neukunde,13578
OPP00000171,,ACC003696,Opportunity 171,Angebot,19465.34,74.0,2023-12-18,2023-06-30,Telefonakquise,Neukunde,4814
OPP00000172,,ACC000559,Opportunity 172,Angebot,26777.36,54.7,2021-08-23,2021-04-18,Messe,Neukunde,6299
OPP00000173,,ACC017376,Opportunity 173,Verhandlung,45558.62,27.0,2023-11-27,2023-06-18,Messe,Neukunde,
OPP00000174,,ACC013434,Opportunity 174,Verhandlung,43592.73,32.1,2025-07-19,2025-05-27,Telefonakquise,Bestandskunde - Upgrade,10230
OPP00000175,175,ACC004196,Opportunity 175,Closed Won,42051.27,100.0,2025-04-09,2025-01-26,Empfehlung,Bestandskunde - Zusatzprodukt,8730
OPP00000176,,ACC010981,Opportunity 176,Qualifizierung,3363.15,23.7,2025-04-14,2024-11-27,Social Media,Bestandskunde - Zusatzprodukt,11425
OPP00000177,,ACC019293,Opportunity 177,Verhandlung,15034.75,44.8,2024-08-25,2024-05-05,Empfehlung,Bestandskunde - Upgrade,7186
OPP00000178,178,ACC004897,Opportunity 178,Closed Won,21219.03,100.0,2024-06-27,2024-04-14,Empfehlung,Bestandskunde - Upgrade,9594
OPP00000179,,ACC015562,Opportunity 179,Closed Lost,37849.52,0.0,2022-07-07,2022-05-07,Empfehlung,Bestandskunde - Zusatzprodukt,369
OPP00000180,,ACC000473,Opportunity 180,Angebot,24446.05,42.4,2023-10-13,2023-07-09,Social Media,Bestandskunde - Upgrade,
OPP00000181,,ACC003632,Opportunity 181,Interessent,10462.1,30.4,2022-12-31,2022-10-01,Empfehlung,Neukunde,2699
OPP00000182,,ACC010393,Opportunity 182,Angebot,46931.1,22.1,2024-10-30,2024-06-09,Empfehlung,Bestandskunde - Zusatzprodukt,9028
OPP00000183,,ACC005951,Opportunity 183,Qualifizierung,34830.13,29.1,2024-05-19,2023-12-03,Webseite,Bestandskunde - Zusatzprodukt,
OPP00000184,,ACC005385,Opportunity 184,Interessent,15372.13,65.1,2022-06-21,2022-05-18,Partner,Bestandskunde - Zusatzprodukt,14002
OPP00000185,,ACC004601,Opportunity 185,Qualifizierung,4258.8,50.9,2023-06-28,2023-04-05,Webseite,Bestandskunde - Upgrade,
OPP00000186,,ACC017263,Opportunity 186,Interessent,49496.59,77.0,2023-05-15,2023-02-05,Social Media,Bestandskunde - Zusatzprodukt,10160
OPP00000187,,ACC002744,Opportunity 187,Interessent,44267.63,13.2,2023-01-02,2022-08-12,Webseite,Neukunde,9165
OPP00000188,,ACC018750,Opportunity 188,Angebot,11507.07,26.3,2023-10-01,2023-05-10,Social Media,Neukunde,
OPP00000189,,ACC004361,Opportunity 189,Closed Lost,14447.62,0.0,2025-06-18,2025-01-30,Empfehlung,Bestandskunde - Zusatzprodukt,13052
OPP00000190,,ACC011709,Opportunity 190,Closed Lost,27271.35,0.0,2023-05-08,2023-02-19,Messe,Neukunde,9579
OPP00000191,,ACC010746,Opportunity 191,Qualifizierung,44594.71,15.1,2022-09-27,2022-08-18,Messe,Bestandskunde - Upgrade,5190
OPP00000192,192,ACC004799,Opportunity 192,Closed Won,1595.22,100.0,2025-04-30,2025-02-14,Social Media,Neukunde,12468
OPP00000193,193,ACC015122,Opportunity 193,Closed Won,46268.55,100.0,2023-05-28,2023-04-19,Social Media,Bestandskunde - Upgrade,4090
OPP00000194,,ACC015117,Opportunity 194,Verhandlung,24086.44,32.4,2024-01-16,2023-09-14,Social Media,Bestandskunde - Upgrade,14031
