campaign_fact_id,date,campaign_key,product_key,channel_key,region_key,spend,leads_generated,impressions
58,2023-10-25,71,3,602,403,70.01,8,11563
59,2023-06-30,53,8,604,402,157.56,64,5502
60,2023-10-23,30,14,600,403,459.85,54,4234
61,2025-01-13,2,5,601,402,117.64,6,7612
62,2023-01-11,58,14,604,401,194.51,75,3278
63,2024-09-19,40,11,605,403,438.17,32,8006
64,2025-06-19,17,1,601,402,415.27,44,4022
65,2023-01-13,62,5,603,401,413.07,6,9579
66,2022-10-24,38,10,604,401,195.87,73,12737
67,2022-08-10,72,12,600,401,471.0,5,5150
68,2022-12-28,60,11,604,401,364.4,89,6811
69,2024-07-12,37,8,601,401,467.63,58,846
70,2022-01-07,25,15,603,402,329.35,5,9681
71,2024-05-13,49,7,605,403,171.63,6,788
72,2023-03-03,8,6,602,401,339.3,88,5607
73,2022-10-12,84,3,604,402,83.26,95,9479
74,2022-01-08,1,3,600,402,163.02,26,14178
75,2025-01-13,27,4,604,400,92.39,55,326
76,2024-11-11,38,1,602,403,217.88,97,14875
77,2024-04-30,26,5,602,403,191.14,61,11546
78,2022-02-17,5,11,604,401,238.92,31,716
79,2022-08-23,71,5,603,403,183.74,55,8033
80,2024-02-02,26,7,600,403,455.11,88,12143
81,2024-06-02,78,9,601,402,482.12,43,4333
82,2024-12-31,87,7,604,402,261.55,64,4929
83,2023-12-09,98,12,601,402,298.42,94,12512
84,2022-09-16,40,10,603,402,138.43,77,7132
85,2022-02-15,45,11,601,400,62.35,8,725
86,2024-12-02,81,14,602,403,437.66,69,2972
87,2024-09-25,28,8,601,402,75.42,55,5696
88,2022-04-30,80,10,602,402,256.02,24,5001
89,2025-03-20,3,12,604,400,472.2,89,5753
90,2022-05-30,95,2,604,402,295.08,7,1390
91,2025-02-26,96,1,600,403,359.75,33,2027
92,2023-03-06,35,11,601,402,449.98,67,6325
93,2024-07-27,92,1,602,400,124.05,87,14307
94,2023-04-21,58,6,604,402,244.12,71,3438
95,2024-05-15,96,15,601,403,57.53,61,399
96,2025-01-12,21,5,601,400,110.14,12,13513
97,2024-12-15,19,5,602,401,105.62,97,12613
98,2023-10-27,100,12,603,402,417.32,88,10653
99,2023-12-12,56,7,605,403,214.46,36,7350
100,2025-03-03,8,1,600,401,291.74,63,7811
101,2022-10-30,67,6,605,402,187.1,25,8977
102,2024-08-19,72,8,601,403,433.51,71,1383
103,2023-04-13,80,2,603,403,404.03,84,7119
104,2025-04-10,13,10,604,401,495.42,53,12645
105,2024-02-14,95,9,603,402,174.36,63,2330
106,2025-04-03,21,6,603,403,438.3,22,14905
107,2022-01-11,19,8,605,401,229.88,30,13739
108,2025-02-23,84,5,602,403,389.06,6,9073
109,2024-04-29,14,15,600,401,190.18,76,7839
110,2022-09-05,14,1,604,401,189.41,18,3373
111,2025-02-15,100,4,603,402,294.5,43,5076
112,2022-07-16,8,1,603,402,392.91,53,7399
113,2024-12-31,5,7,603,403,224.16,80,2563
114,2022-12-12,20,4,603,401,298.97,78,918
115,2023-04-05,97,12,603,403,358.43,68,10777
116,2024-03-14,65,1,605,400,356.71,14,9271
117,2024-12-06,62,3,601,400,370.79,14,854
118,2022-02-27,6,1,605,403,319.08,40,6372
119,2024-06-25,77,8,604,400,139.77,52,10445
120,2024-09-22,93,6,605,402,133.19,38,664
121,2025-01-25,96,6,604,401,185.44,79,10255
122,2022-10-22,58,10,600,403,315.02,9,12897
123,2025-02-09,98,2,601,401,195.98,50,11989
124,2022-03-08,21,13,602,403,454.69,94,13719
125,2023-11-01,62,3,605,402,292.94,48,11176
126,2025-03-23,23,6,602,403,422.5,93,2328
127,2023-08-14,63,2,600,402,100.55,30,14675
128,2023-02-06,19,5,600,403,59.73,20,12980
129,2022-01-16,45,8,601,401,383.77,78,11584
130,2023-06-25,64,10,601,403,54.14,75,13942
131,2022-07-06,53,9,600,400,496.97,71,6424
132,2024-03-19,66,1,603,403,388.88,24,5155
133,2024-04-20,29,4,605,400,105.03,91,5299
134,2022-10-13,70,15,600,401,135.11,66,8317
135,2022-08-25,96,3,600,400,414.22,28,8742
136,2024-12-24,88,15,601,400,159.96,23,2546
137,2023-05-28,43,14,601,400,375.07,91,3501
138,2023-06-22,56,3,601,400,303.01,25,12651
139,2023-04-20,94,3,602,400,429.63,21,3466
140,2023-04-28,74,2,600,401,78.08,14,770
141,2024-03-05,89,8,601,400,201.41,26,5912
142,2024-09-27,62,7,603,402,249.82,84,3485
143,2025-04-21,34,4,601,403,189.3,69,450
144,2024-10-28,25,10,601,401,358.71,91,14629
145,2024-12-15,36,9,602,400,430.64,30,695
146,2023-11-21,19,15,601,400,378.34,23,9155
147,2022-07-23,8,6,602,400,67.24,32,7032
148,2023-11-09,10,11,602,402,111.55,79,3130
149,2024-01-12,29,12,605,403,212.85,53,7380
150,2022-10-27,22,6,600,403,435.23,41,11113
151,2024-08-02,59,12,601,402,343.41,27,4201
152,2024-07-12,62,6,605,401,171.88,10,12188
153,2023-11-04,87,15,605,400,301.57,87,13757
154,2023-07-30,49,5,602,403,183.88,87,6107
155,2024-08-25,78,10,602,403,145.65,6,5290
156,2024-06-13,26,7,602,400,265.6,62,970
157,2022-01-21,20,4,602,401,257.29,19,2907
158,2023-10-03,3,3,604,402,218.21,82,11979
159,2023-08-01,57,3,601,401,151.91,77,13273
160,2022-02-15,25,12,603,400,397.87,57,2911
161,2023-02-28,38,5,600,400,203.38,6,9550
162,2023-01-05,15,9,600,402,289.51,60,1598
163,2025-05-01,87,5,603,401,433.99,36,4646
164,2025-02-01,45,12,603,401,82.76,81,3804
165,2023-03-26,69,4,605,401,142.02,80,4508
166,2024-12-28,27,13,604,403,175.66,46,4070
167,2024-11-18,25,7,603,401,446.97,35,14880
168,2024-09-29,77,5,603,401,52.75,90,9521
169,2025-03-23,95,8,604,402,317.38,61,3987
170,2024-07-23,68,1,602,401,295.69,66,6259
171,2022-02-06,85,7,600,400,279.43,83,14324
172,2023-10-20,58,5,605,400,105.36,69,10718
173,2022-05-01,22,6,601,402,223.37,20,8366
174,2023-03-02,44,13,604,401,359.95,7,14382
175,2024-05-19,26,4,601,401,137.94,78,11476
176,2024-01-08,85,11,605,403,409.98,59,8744
177,2023-09-10,61,13,604,402,444.88,30,14901
178,2024-01-16,1,1,601,400,241.82,16,6146
179,2024-10-04,81,6,603,403,112.48,30,1024
180,2023-12-17,70,4,604,403,74.87,67,1733
181,2023-03-22,26,4,600,400,160.53,72,12245
182,2022-01-23,71,3,602,403,213.73,87,3047
183,2022-09-01,24,3,601,402,105.93,57,12490
184,2024-12-26,58,1,603,400,407.01,87,540
185,2024-07-24,39,12,602,401,71.17,89,3941
186,2025-01-31,69,10,600,401,413.6,61,1239
187,2025-06-26,48,3,604,400,214.86,19,932
188,2024-09-18,92,4,600,400,481.49,73,14822
189,2023-01-12,30,8,601,401,98.48,26,8990
190,2025-03-03,80,5,605,403,88.31,100,6080
191,2024-03-27,42,11,600,400,199.53,85,1820
192,2022-02-17,91,5,602,403,490.97,56,3590
193,2022-07-08,90,13,603,403,313.18,33,9000
194,2023-04-10,11,7,602,403,200.88,39,9495
195,2023-02-25,48,2,603,401,272.84,94,185
196,2023-12-02,66,3,600,400,127.25,63,934
197,2022-02-11,27,12,601,402,378.06,64,12140
198,2022-08-27,69,12,603,403,443.95,79,10683
199,2023-02-01,18,13,603,403,207.76,23,3882
200,2022-01-10,93,8,600,403,326.66,10,14114
201,2024-08-11,82,7,603,400,432.74,57,10284
202,2023-06-05,73,15,604,403,116.54,71,877
203,2022-08-31,38,2,604,403,270.93,41,10594
204,2023-10-17,4,3,605,400,383.98,81,3811
205,2023-10-27,35,9,602,403,77.38,37,13898
206,2024-11-15,1,4,605,400,344.5,66,3823
207,2023-12-14,82,10,600,400,287.03,83,11266
208,2022-06-09,6,9,602,402,75.12,45,1278
209,2023-04-13,76,10,603,400,198.52,81,5282
210,2022-03-29,81,4,600,403,349.31,60,985
211,2022-10-13,29,7,605,402,117.0,18,1474
212,2024-08-23,23,15,603,402,93.58,43,5504
213,2025-02-18,31,11,603,402,441.73,42,1683
214,2022-02-28,5,4,600,400,491.82,43,637
215,2024-07-19,72,7,601,403,197.71,95,2405
216,2023-07-22,86,15,605,403,448.14,99,9328
217,2024-03-28,56,1,605,403,441.63,45,14090
218,2022-11-13,56,2,605,402,324.44,49,13881
219,2025-01-15,83,2,600,402,416.68,42,2261
220,2024-04-01,85,3,601,400,141.49,35,3361
221,2023-11-08,19,11,605,403,189.27,60,724
222,2025-01-15,49,7,600,400,247.77,95,9674
223,2024-03-01,54,11,600,401,143.93,48,5703
224,2023-06-21,32,14,604,401,292.99,71,9762
225,2023-02-16,33,12,603,400,259.47,100,3342
226,2023-12-12,34,1,602,402,392.33,81,10679
227,2025-02-15,98,15,602,403,424.42,33,9288
228,2024-01-04,3,14,604,403,333.56,96,2689
229,2022-10-06,33,6,601,400,210.24,81,492
230,2023-05-16,26,13,601,403,111.69,34,11872
231,2023-01-03,33,2,604,401,180.99,72,5886
232,2024-06-14,93,15,600,401,123.73,16,14770
233,2024-07-04,17,9,605,403,161.96,95,6256
234,2024-02-16,56,13,600,401,489.46,62,14449
235,2024-05-12,77,5,605,403,89.85,76,13816
236,2024-06-19,19,15,601,403,405.22,21,13737
237,2023-10-03,27,13,602,403,301.4,35,2686
238,2023-01-18,59,6,600,401,186.95,38,9273
239,2024-11-19,20,8,603,400,50.93,37,2081
240,2022-04-07,19,13,603,402,76.79,84,7353
241,2023-11-12,46,14,602,403,429.47,73,12288
242,2024-06-27,24,10,603,401,64.61,34,13121
243,2022-12-22,50,4,600,403,416.85,54,9130
244,2022-11-16,36,11,604,400,295.75,36,9321
245,2022-03-26,51,2,601,400,454.86,82,11238
246,2022-08-11,28,7,601,403,463.34,81,9710
247,2024-06-18,57,13,603,402,183.63,44,13622
248,2023-07-28,2,8,600,403,112.79,98,1904
249,2023-06-11,56,12,601,403,396.97,76,7676
250,2023-04-26,7,4,605,403,251.32,97,1929
251,2023-11-04,84,12,600,400,278.57,30,1091
252,2022-09-23,28,6,603,402,83.89,86,13626
253,2024-12-27,51,11,603,400,389.88,9,9270
254,2025-05-31,13,2,604,402,333.69,54,2642
255,2024-01-27,39,13,601,402,404.87,37,14888
256,2022-02-28,42,4,603,401,249.21,25,3648
257,2023-04-07,23,4,602,402,128.72,89,2118
258,2024-03-25,8,13,603,401,429.32,74,9968
259,2023-03-02,29,9,601,401,353.4,40,11526
260,2022-10-09,48,10,605,400,470.89,73,9883
261,2025-01-07,31,6,602,401,300.91,94,5055
262,2022-03-10,73,6,605,400,187.82,36,1074
263,2023-06-12,72,11,603,400,333.99,52,3010
264,2024-07-01,21,1,600,403,407.82,25,3554
265,2024-10-24,69,1,605,400,66.54,55,3868
266,2022-08-23,36,12,602,401,499.44,39,12447
267,2023-12-28,36,3,604,403,144.77,98,8208
268,2022-07-23,1,5,601,401,167.24,53,1163
269,2022-11-11,52,4,605,402,383.46,32,8564
270,2024-09-23,36,7,601,401,425.23,15,835
271,2024-05-11,50,4,603,400,320.6,72,12440
272,2022-02-17,66,14,602,401,412.76,86,3239
273,2024-01-21,3,5,600,400,113.67,71,9848
274,2022-11-22,76,6,602,402,148.75,97,604
275,2024-03-14,94,2,601,400,148.4,20,13374
276,2023-05-14,65,13,601,401,482.18,46,9257
277,2024-12-05,64,13,600,400,328.13,22,8901
278,2023-10-15,36,7,600,402,289.13,56,11135
279,2024-06-22,21,15,604,400,319.93,83,7883
280,2022-01-30,57,7,603,401,194.57,17,11976
281,2025-06-17,73,14,605,402,464.15,13,6894
282,2023-10-27,56,7,603,400,350.76,74,14167
283,2024-12-20,13,9,603,400,198.54,8,14615
284,2023-07-05,12,11,602,402,279.12,5,2831
285,2023-02-01,68,5,603,401,474.79,55,11059
286,2025-05-17,100,6,601,400,281.05,65,6525
287,2023-06-06,71,11,604,403,94.72,99,14006
288,2023-07-30,79,4,602,401,71.74,32,12547
289,2022-08-17,95,12,605,402,454.89,20,11228
290,2025-06-16,63,14,601,403,126.2,98,2606
291,2025-01-30,52,7,605,403,348.3,26,3061
292,2024-12-30,38,12,602,403,155.58,13,12973
293,2022-07-12,17,11,605,402,351.83,24,8795
294,2022-05-23,6,3,600,401,194.78,51,9122
295,2024-03-29,63,4,602,400,59.18,11,5794
296,2023-12-06,28,15,604,403,483.65,63,11382
297,2023-07-20,27,13,605,402,273.85,70,11394
298,2022-07-24,14,10,604,401,229.03,53,1647
299,2025-04-17,63,6,603,402,473.98,19,12702
300,2023-10-16,35,12,605,402,186.21,25,3757
301,2023-06-23,10,10,601,400,219.59,14,11121
302,2024-08-20,92,5,603,403,132.46,99,3635
303,2024-03-29,88,1,604,403,442.52,95,4105
304,2023-11-27,40,7,603,401,468.15,47,11803
305,2025-04-05,6,12,603,401,146.17,58,3417
306,2024-09-01,72,3,604,401,278.83,48,14949
307,2023-08-07,33,1,603,403,363.9,91,4554
308,2024-05-21,53,6,603,401,403.38,18,3849
309,2023-08-28,64,15,605,402,136.28,86,12604
310,2023-05-18,24,13,600,401,175.39,88,1438
311,2025-01-09,94,5,600,402,334.23,68,7801
312,2023-03-16,62,11,603,401,174.64,94,5863
313,2024-07-26,21,10,604,400,70.13,47,848
314,2022-03-02,77,7,604,403,467.98,15,5576
315,2024-01-08,26,6,601,402,145.96,28,4093
316,2023-12-07,31,14,602,402,441.55,98,9088
317,2022-09-05,7,8,604,401,236.97,52,4043
318,2022-10-17,34,4,605,401,320.04,89,2130
319,2024-06-22,54,1,601,402,392.08,5,11694
320,2022-05-10,21,15,602,401,397.21,13,5036
321,2024-08-23,95,4,603,401,304.28,26,3578
322,2023-02-21,82,10,604,401,325.83,100,2184
323,2023-04-25,33,6,603,403,251.11,61,7109
324,2024-01-18,17,13,600,401,238.76,88,1369
325,2024-09-07,57,13,603,401,468.33,36,10311
326,2025-06-21,69,2,600,403,402.51,65,4426
327,2022-09-10,21,7,605,403,267.68,51,2345
328,2023-07-26,70,9,603,400,268.03,73,11734
329,2024-09-14,6,2,601,403,115.68,66,3941
330,2024-07-18,14,3,602,403,214.77,8,7867
331,2023-05-29,21,15,603,401,143.79,39,2667
332,2025-06-06,74,15,602,402,439.32,54,1753
333,2023-08-14,35,3,603,400,271.52,37,741
334,2023-08-15,85,4,601,400,470.01,23,8655
335,2024-03-01,42,11,604,400,334.14,61,8785
336,2024-02-17,48,6,600,400,126.76,24,3371
337,2023-10-11,50,10,600,400,411.31,39,6076
338,2025-03-14,43,1,605,402,352.23,96,9342
339,2023-08-21,59,4,603,402,154.1,83,7083
340,2023-07-29,9,15,600,403,376.05,46,4031
341,2025-01-14,28,14,603,401,318.36,76,7141
342,2023-09-17,81,13,600,401,440.45,85,9984
343,2025-04-24,39,10,604,400,407.24,62,6295
344,2022-05-02,2,13,603,401,176.86,76,7147
345,2024-07-27,34,13,603,400,241.05,28,7641
346,2025-06-28,98,3,600,403,113.54,93,12454
347,2024-02-06,16,12,604,400,440.95,63,3673
348,2024-12-16,98,5,602,401,55.11,76,1823
349,2022-02-08,85,6,603,402,295.43,8,3348
350,2022-05-15,26,4,603,401,349.46,65,7522
351,2023-07-30,52,6,602,400,395.05,64,9885
352,2022-07-05,22,10,604,400,194.08,53,13038
353,2024-10-05,84,12,602,400,276.67,75,12057
354,2025-04-14,61,3,601,403,70.23,26,10683
355,2023-07-21,67,7,603,403,257.1,48,12486
356,2024-06-14,24,14,605,402,155.16,8,412
357,2023-07-04,19,14,605,402,375.65,10,939
358,2025-02-08,91,8,600,400,406.86,12,4517
359,2023-07-19,58,11,602,400,196.83,88,991
360,2023-05-10,5,3,600,403,175.78,62,9926
361,2023-04-01,9,4,604,403,168.01,67,3943
362,2023-09-18,2,12,600,403,175.16,21,13585
363,2024-11-06,98,2,602,400,67.68,41,9220
364,2022-03-13,94,9,603,402,293.75,28,1202
365,2022-12-25,69,6,604,401,146.78,14,11576
366,2024-08-05,57,13,602,402,445.0,74,9885
367,2022-06-10,78,10,604,400,326.12,34,4610
368,2025-03-19,55,3,602,401,229.94,95,2620
369,2025-04-16,2,10,603,400,92.87,9,7788
370,2023-06-15,41,3,601,400,178.63,69,8948
371,2024-03-18,88,12,605,403,169.37,7,4559
372,2023-01-23,66,3,601,401,482.87,13,9556
373,2022-02-06,62,8,601,401,80.8,90,5088
374,2024-06-23,33,7,600,400,94.38,60,11128
375,2025-02-28,90,13,601,401,347.3,23,13079
376,2022-09-18,3,6,600,400,451.68,38,8428
377,2022-07-24,74,9,604,401,238.26,58,8659
378,2025-04-20,81,1,602,401,243.08,84,3725
379,2024-03-02,75,4,603,402,63.87,30,5153
380,2025-02-23,34,3,600,403,161.86,87,3042
381,2022-05-30,2,8,601,400,328.01,57,13206
382,2024-08-31,79,1,604,402,92.08,17,8244
383,2024-06-22,44,3,602,402,410.86,28,11286
384,2023-05-27,3,3,604,401,231.48,13,14438
385,2023-01-02,21,4,601,402,437.08,37,10234
386,2024-09-13,42,13,604,403,224.37,41,334
387,2022-11-21,96,4,605,403,121.46,46,4303
388,2024-05-27,71,14,600,402,307.12,91,7943
389,2023-01-29,64,8,604,403,228.63,11,11176
390,2024-02-07,87,5,602,400,387.83,46,6522
391,2024-10-27,37,10,603,402,126.7,50,7645
392,2024-09-14,96,4,605,402,192.89,46,8910
393,2023-11-03,80,4,600,401,216.18,88,4432
394,2023-11-30,40,6,602,401,145.99,23,13003
395,2023-02-08,88,2,602,400,153.72,53,13153
396,2024-03-14,66,4,605,400,154.52,18,5261
397,2022-08-16,5,5,603,402,128.48,98,9121
398,2023-01-07,24,2,602,401,327.34,42,12021
399,2022-04-25,78,8,601,403,304.72,68,14786
400,2022-03-04,71,13,603,403,109.99,10,3121
401,2023-10-16,83,13,605,402,377.92,64,10914
402,2024-04-16,44,9,603,403,107.06,30,8525
403,2022-11-21,24,11,603,403,143.3,99,965
404,2024-07-31,99,9,602,403,247.2,36,7212
405,2025-05-19,35,13,604,401,400.51,75,11197
406,2025-06-13,53,6,603,400,282.4,19,6847
407,2022-05-07,81,7,602,403,235.27,56,1721
408,2023-03-25,34,8,603,400,482.89,46,2031
409,2023-01-15,76,4,604,401,252.5,48,3001
410,2023-07-14,22,2,605,403,404.16,29,8193
411,2022-01-12,10,13,604,401,278.24,78,14040
412,2025-06-06,14,5,601,400,474.43,88,12264
413,2025-03-24,44,13,605,400,226.02,85,6720
414,2022-12-28,40,12,601,402,387.03,72,11787
415,2025-04-04,26,13,604,400,96.01,70,9297
416,2022-12-26,19,8,604,400,271.34,63,1024
417,2024-11-10,76,2,605,402,258.32,25,8879
418,2024-04-07,70,9,602,402,286.33,100,414
419,2022-09-25,57,6,603,400,191.38,32,6967
420,2024-11-22,23,13,601,402,248.29,11,6621
421,2023-12-23,69,5,604,401,117.38,99,11435
422,2022-07-06,68,1,600,403,123.77,33,14847
423,2025-03-12,73,10,604,400,400.6,87,7265
424,2024-03-21,61,13,602,403,339.77,88,3891
425,2022-03-01,81,7,605,400,429.05,70,1602
426,2023-11-04,17,11,602,400,140.01,66,10983
427,2024-07-19,40,3,602,403,98.46,51,12666
428,2022-12-06,86,13,603,400,339.47,32,12291
429,2023-06-09,19,6,602,403,231.2,31,14206
430,2023-01-12,93,10,600,400,65.61,79,12343
431,2024-08-28,70,8,602,403,272.61,24,3183
432,2022-01-06,26,11,601,400,81.58,72,232
433,2024-11-07,50,3,605,400,364.21,91,12477
434,2025-05-25,9,4,601,400,455.44,38,7166
435,2022-07-07,83,5,602,401,473.69,82,3182
436,2023-01-02,9,4,600,402,352.85,12,9321
437,2025-02-12,5,7,601,402,98.42,72,13670
438,2024-04-29,90,10,605,401,389.91,84,11152
439,2022-03-18,53,2,600,401,350.29,67,12031
440,2024-04-30,99,15,600,403,246.71,99,6125
441,2022-12-11,16,3,603,400,490.78,9,6323
442,2024-06-14,90,6,600,402,473.07,70,1618
443,2023-11-13,95,13,605,402,257.79,81,5757
444,2022-05-23,16,5,600,402,377.26,88,11392
445,2022-08-17,95,14,600,402,327.99,87,7660
446,2024-11-27,59,6,605,402,165.95,67,9385
447,2024-05-17,9,6,601,400,437.93,82,13694
448,2022-05-21,80,9,600,403,227.13,49,2867
449,2025-04-20,19,4,600,400,378.88,38,7678
450,2023-02-12,4,13,604,402,340.9,16,7214
451,2022-04-23,3,12,603,400,316.87,47,9390
452,2024-07-04,99,4,603,402,477.37,82,4569
453,2023-06-07,31,15,604,403,158.62,66,14257
454,2025-03-19,71,10,600,403,496.09,40,4181
455,2023-03-31,51,13,604,403,84.39,90,9059
456,2025-05-10,18,6,601,400,255.83,20,10086
457,2022-06-09,15,9,602,402,371.57,50,2212
458,2022-01-22,4,13,602,400,145.2,79,1100
459,2024-06-24,94,10,600,402,496.78,54,3248
460,2024-08-06,76,3,603,400,135.56,52,2382
461,2023-08-13,24,1,602,400,67.74,55,10048
462,2023-04-23,68,1,603,401,423.99,84,9402
463,2025-06-02,93,1,605,403,343.62,21,3957
464,2023-03-24,89,7,603,402,483.37,20,11769
465,2022-12-16,32,13,602,403,461.22,65,3606
466,2025-04-27,89,14,604,401,308.86,16,4590
467,2024-01-19,20,4,605,402,384.42,62,9104
468,2023-02-10,37,3,604,400,408.02,63,9694
469,2022-12-09,45,7,605,400,134.16,53,11276
470,2023-07-11,81,5,603,403,334.32,26,10865
471,2024-02-22,68,7,600,400,338.63,40,9016
472,2025-04-17,96,6,602,401,212.63,38,12373
473,2023-03-11,10,11,601,401,183.99,84,12767
474,2025-06-27,18,6,604,402,210.8,97,2951
475,2024-12-13,85,2,605,401,481.44,29,1766
476,2024-05-14,63,15,600,402,75.26,24,3584
477,2023-08-01,11,8,602,401,171.31,56,11221
478,2024-02-26,56,12,602,400,194.52,35,4776
479,2025-01-04,48,4,602,403,351.49,72,12029
480,2023-10-14,42,12,602,401,460.85,52,4330
481,2023-02-28,71,11,601,401,167.38,60,14234
482,2023-09-20,54,3,600,403,108.86,63,12765
483,2025-06-24,31,5,603,401,224.04,69,14759
484,2024-08-28,19,8,603,403,331.3,17,4974
485,2024-01-12,50,15,603,400,281.16,34,4941
486,2023-07-25,66,15,604,400,82.27,88,10025
487,2023-04-15,50,1,600,403,52.92,56,9141
488,2023-01-03,75,9,603,401,302.4,84,4269
489,2023-01-19,79,9,604,400,456.94,17,2832
490,2024-08-22,68,14,602,401,428.97,27,5777
491,2022-12-27,96,4,602,401,346.58,27,13531
492,2025-03-12,87,10,600,401,309.03,88,7727
493,2023-11-14,88,3,604,403,179.63,96,12478
494,2022-12-12,38,4,604,402,237.57,71,11850
495,2023-11-13,92,9,605,401,119.73,37,6314
496,2024-05-24,56,3,605,400,487.84,100,14426
497,2024-03-22,74,7,605,401,367.65,36,5990
498,2025-02-01,73,10,602,403,104.93,65,5566
499,2022-08-04,81,6,604,401,461.77,69,6522
500,2025-03-14,48,2,602,400,58.29,53,13032
501,2025-02-25,83,3,604,400,198.59,33,4055
502,2023-03-04,14,5,601,402,366.88,43,11038
503,2025-02-18,51,3,605,402,410.9,96,10800
504,2023-01-30,16,8,602,403,383.17,46,6687
505,2022-12-11,24,7,605,403,439.53,43,12249
506,2023-11-25,39,4,605,400,306.36,39,2104
507,2023-04-12,65,5,602,403,303.14,66,290
508,2024-09-18,27,12,605,403,455.24,84,5034
509,2023-02-11,86,13,604,403,424.86,13,3239
510,2024-03-03,82,5,604,401,435.91,76,8318
511,2024-03-01,44,2,602,402,86.24,65,8976
512,2022-03-07,7,13,605,400,469.96,62,14235
513,2022-04-23,28,13,605,402,294.22,67,5525
514,2024-11-28,3,4,600,401,261.61,50,14970
515,2024-02-17,83,5,600,400,379.68,8,7513
516,2023-08-22,54,12,604,402,97.3,10,4590
517,2022-07-23,16,12,600,402,110.66,62,1739
518,2024-08-07,70,1,601,400,354.99,96,9396
519,2022-05-22,76,13,603,403,366.73,26,9420
520,2025-06-18,59,13,601,402,282.5,81,7618
521,2023-03-02,14,8,603,403,115.8,90,4196
522,2024-10-17,2,1,603,402,86.76,35,4722
523,2025-05-22,56,4,601,402,433.06,92,2228
524,2024-12-22,20,6,603,401,274.9,28,8598
525,2024-01-24,6,6,600,402,410.66,77,9081
526,2022-03-21,97,15,605,401,324.67,88,2852
527,2023-08-19,87,13,603,402,175.32,86,6004
528,2024-03-23,42,4,601,401,282.66,76,4529
529,2023-01-12,33,1,601,402,84.93,38,284
530,2024-02-26,32,6,600,400,243.64,79,13866
531,2022-12-23,48,3,602,402,355.07,75,10806
532,2023-04-05,78,5,604,401,334.29,23,4868
533,2022-02-17,72,1,601,400,436.79,52,2052
534,2024-04-01,4,6,601,403,93.08,77,14537
535,2022-09-23,42,8,602,400,494.38,21,8905
536,2022-10-24,8,12,604,402,300.89,65,8630
