billing_id,customer_key,billing_date,billing_type,consumption_kwh,amount,payment_status
34,2,2023-04-15,Electricity,515,202.23,Bezahlt
35,2,2023-05-15,Electricity,530,195.22,Überfällig
36,2,2023-06-15,Electricity,361,152.42,Bezahlt
37,2,2023-07-15,Electricity,375,127.74,Bezahlt
38,2,2023-08-15,Electricity,319,119.76,Bezahlt
39,2,2023-09-15,Electricity,508,180.54,Bezahlt
40,2,2023-10-15,Electricity,567,227.43,Bezahlt
41,2,2023-11-15,Electricity,526,201.12,Bezahlt
42,2,2023-12-15,Electricity,701,234.05,Bezahlt
43,2,2024-01-15,Electricity,622,209.13,Bezahlt
44,2,2024-02-15,Electricity,608,216.01,Bezahlt
45,2,2024-03-15,Electricity,551,192.71,Bezahlt
46,2,2024-04-15,Electricity,569,228.81,Bezahlt
47,2,2024-05-15,Electricity,549,199.24,Bezahlt
48,2,2024-06-15,Electricity,431,149.59,Bezahlt
49,2,2024-07-15,Electricity,345,126.06,Bezahlt
50,2,2024-08-15,Electricity,366,143.88,Bezahlt
51,2,2024-09-15,Electricity,463,161.39,Bezahlt
52,2,2024-10-15,Electricity,481,165.24,Bezahlt
53,2,2024-11-15,Electricity,529,199.91,Überfällig
54,2,2024-12-15,Electricity,698,249.82,Bezahlt
55,2,2025-01-15,Electricity,607,198.9,Bezahlt
56,2,2025-02-15,Electricity,737,249.45,Bezahlt
57,2,2025-03-15,Electricity,596,245.35,Bezahlt
58,2,2025-04-15,Electricity,454,187.15,Bezahlt
59,2,2025-05-15,Electricity,567,185.36,Bezahlt
60,2,2025-06-15,Electricity,415,151.93,Bezahlt
61,3,2023-01-15,Electricity,716,241.62,Offen
62,3,2023-02-15,Electricity,769,263.78,Bezahlt
63,3,2023-03-15,Electricity,591,209.44,Bezahlt
64,3,2023-04-15,Electricity,506,201.38,Bezahlt
65,3,2023-05-15,Electricity,575,191.57,Bezahlt
66,3,2023-06-15,Electricity,373,155.14,Bezahlt
67,3,2023-07-15,Electricity,438,182.34,Bezahlt
68,3,2023-08-15,Electricity,453,172.9,Bezahlt
69,3,2023-09-15,Electricity,492,192.23,Bezahlt
70,3,2023-10-15,Electricity,555,232.61,Bezahlt
71,3,2023-11-15,Electricity,722,236.21,Bezahlt
72,3,2023-12-15,Electricity,846,350.26,Bezahlt
73,3,2024-01-15,Electricity,716,231.32,Bezahlt
74,3,2024-02-15,Electricity,838,272.12,Bezahlt
75,3,2024-03-15,Electricity,615,217.82,Bezahlt
76,3,2024-04-15,Electricity,644,245.18,Bezahlt
77,3,2024-05-15,Electricity,665,264.42,Bezahlt
78,3,2024-06-15,Electricity,442,148.77,Bezahlt
79,3,2024-07-15,Electricity,442,156.19,Bezahlt
80,3,2024-08-15,Electricity,361,121.18,Überfällig
81,3,2024-09-15,Electricity,640,258.58,Bezahlt
82,3,2024-10-15,Electricity,542,195.82,Bezahlt
83,3,2024-11-15,Electricity,698,278.34,Bezahlt
84,3,2024-12-15,Electricity,786,320.57,Bezahlt
85,3,2025-01-15,Electricity,845,296.38,Bezahlt
86,3,2025-02-15,Electricity,831,311.61,Bezahlt
87,3,2025-03-15,Electricity,610,212.79,Bezahlt
88,3,2025-04-15,Electricity,503,203.73,Bezahlt
89,3,2025-05-15,Electricity,592,213.56,Bezahlt
90,3,2025-06-15,Electricity,389,133.67,Bezahlt
91,4,2023-01-15,Electricity,628,230.75,Bezahlt
92,4,2023-02-15,Electricity,763,252.99,Bezahlt
93,4,2023-03-15,Electricity,596,227.54,Bezahlt
94,4,2023-04-15,Electricity,484,174.22,Bezahlt
95,4,2023-05-15,Electricity,558,189.35,Bezahlt
96,4,2023-06-15,Electricity,402,133.91,Bezahlt
97,4,2023-07-15,Electricity,379,136.31,Bezahlt
98,4,2023-08-15,Electricity,350,139.51,Bezahlt
99,4,2023-09-15,Electricity,453,159.05,Bezahlt
100,4,2023-10-15,Electricity,577,217.37,Offen
101,4,2023-11-15,Electricity,694,267.37,Bezahlt
102,4,2023-12-15,Electricity,655,259.87,Bezahlt
103,4,2024-01-15,Electricity,756,303.86,Bezahlt
104,4,2024-02-15,Electricity,689,285.61,Bezahlt
105,4,2024-03-15,Electricity,516,198.78,Bezahlt
106,4,2024-04-15,Electricity,560,206.21,Offen
107,4,2024-05-15,Electricity,448,182.55,Bezahlt
108,4,2024-06-15,Electricity,382,131.74,Bezahlt
109,4,2024-07-15,Electricity,354,149.91,Bezahlt
110,4,2024-08-15,Electricity,384,165.29,Bezahlt
111,4,2024-09-15,Electricity,583,208.03,Bezahlt
112,4,2024-10-15,Electricity,524,202.99,Bezahlt
113,4,2024-11-15,Electricity,552,220.94,Bezahlt
114,4,2024-12-15,Electricity,755,281.63,Bezahlt
115,4,2025-01-15,Electricity,684,277.99,Bezahlt
116,4,2025-02-15,Electricity,643,211.53,Bezahlt
117,4,2025-03-15,Electricity,603,228.79,Bezahlt
118,4,2025-04-15,Electricity,580,195.33,Bezahlt
119,4,2025-05-15,Electricity,542,190.33,Bezahlt
120,4,2025-06-15,Electricity,438,150.77,Bezahlt
121,5,2023-01-15,Electricity,237,98.41,Bezahlt
122,5,2023-01-15,Gas,910,94.48,Bezahlt
123,5,2023-02-15,Electricity,211,91.69,Bezahlt
124,5,2023-02-15,Gas,926,101.96,Offen
125,5,2023-03-15,Electricity,209,85.5,Offen
126,5,2023-03-15,Gas,630,87.85,Bezahlt
127,5,2023-04-15,Electricity,178,68.48,Bezahlt
128,5,2023-04-15,Gas,470,69.1,Bezahlt
129,5,2023-05-15,Electricity,181,81.07,Bezahlt
130,5,2023-05-15,Gas,210,29.01,Bezahlt
131,5,2023-06-15,Electricity,114,51.78,Bezahlt
132,5,2023-06-15,Gas,106,18.83,Bezahlt
133,5,2023-07-15,Electricity,119,48.73,Bezahlt
134,5,2023-07-15,Gas,72,17.7,Bezahlt
135,5,2023-08-15,Electricity,112,48.64,Bezahlt
136,5,2023-08-15,Gas,75,16.06,Bezahlt
137,5,2023-09-15,Electricity,189,79.29,Bezahlt
138,5,2023-09-15,Gas,156,25.16,Offen
139,5,2023-10-15,Electricity,143,58.56,Überfällig
140,5,2023-10-15,Gas,358,41.65,Bezahlt
141,5,2023-11-15,Electricity,203,88.41,Offen
142,5,2023-11-15,Gas,521,59.59,Bezahlt
143,5,2023-12-15,Electricity,227,101.87,Bezahlt
144,5,2023-12-15,Gas,862,103.1,Bezahlt
145,5,2024-01-15,Electricity,208,92.24,Bezahlt
146,5,2024-01-15,Gas,876,119.79,Bezahlt
147,5,2024-02-15,Electricity,186,82.07,Bezahlt
148,5,2024-02-15,Gas,744,91.01,Bezahlt
149,5,2024-03-15,Electricity,161,63.51,Bezahlt
150,5,2024-03-15,Gas,721,91.52,Bezahlt
151,5,2024-04-15,Electricity,172,78.41,Bezahlt
152,5,2024-04-15,Gas,456,64.66,Bezahlt
153,5,2024-05-15,Electricity,152,64.65,Überfällig
154,5,2024-05-15,Gas,198,32.82,Bezahlt
155,5,2024-06-15,Electricity,112,51.22,Bezahlt
156,5,2024-06-15,Gas,94,20.97,Bezahlt
157,5,2024-07-15,Electricity,123,59.35,Bezahlt
158,5,2024-07-15,Gas,69,16.46,Bezahlt
159,5,2024-08-15,Electricity,106,50.3,Bezahlt
160,5,2024-08-15,Gas,69,17.73,Bezahlt
161,5,2024-09-15,Electricity,189,78.37,Bezahlt
162,5,2024-09-15,Gas,161,28.23,Bezahlt
163,5,2024-10-15,Electricity,164,72.44,Offen
164,5,2024-10-15,Gas,291,37.76,Offen
165,5,2024-11-15,Electricity,215,83.17,Bezahlt
166,5,2024-11-15,Gas,699,82.46,Offen
167,5,2024-12-15,Electricity,225,82.55,Bezahlt
168,5,2024-12-15,Gas,824,85.13,Bezahlt
169,5,2025-01-15,Electricity,207,91.88,Bezahlt
170,5,2025-01-15,Gas,803,112.47,Bezahlt
171,5,2025-02-15,Electricity,187,76.81,Bezahlt
172,5,2025-02-15,Gas,748,98.19,Bezahlt
173,5,2025-03-15,Electricity,205,81.58,Bezahlt
174,5,2025-03-15,Gas,826,108.98,Bezahlt
175,5,2025-04-15,Electricity,184,74.82,Bezahlt
176,5,2025-04-15,Gas,377,54.56,Bezahlt
177,5,2025-05-15,Electricity,152,71.05,Offen
178,5,2025-05-15,Gas,191,32.67,Bezahlt
179,5,2025-06-15,Electricity,116,48.24,Bezahlt
180,5,2025-06-15,Gas,92,20.36,Bezahlt
181,6,2023-01-15,Electricity,860,283.84,Bezahlt
182,6,2023-02-15,Electricity,997,366.88,Bezahlt
183,6,2023-03-15,Electricity,773,261.79,Bezahlt
184,6,2023-04-15,Electricity,797,273.68,Bezahlt
185,6,2023-05-15,Electricity,612,203.96,Bezahlt
186,6,2023-06-15,Electricity,595,221.55,Bezahlt
187,6,2023-07-15,Electricity,551,204.11,Bezahlt
188,6,2023-08-15,Electricity,532,222.87,Bezahlt
189,6,2023-09-15,Electricity,769,268.03,Bezahlt
190,6,2023-10-15,Electricity,664,242.92,Bezahlt
191,6,2023-11-15,Electricity,926,325.92,Bezahlt
192,6,2023-12-15,Electricity,1062,414.36,Bezahlt
193,6,2024-01-15,Electricity,1023,323.89,Bezahlt
194,6,2024-02-15,Electricity,1048,406.38,Bezahlt
195,6,2024-03-15,Electricity,811,274.5,Bezahlt
196,6,2024-04-15,Electricity,725,237.34,Bezahlt
197,6,2024-05-15,Electricity,640,242.03,Bezahlt
198,6,2024-06-15,Electricity,603,198.62,Bezahlt
199,6,2024-07-15,Electricity,471,192.27,Bezahlt
200,6,2024-08-15,Electricity,513,178.25,Offen
201,6,2024-09-15,Electricity,701,256.33,Bezahlt
202,6,2024-10-15,Electricity,778,247.48,Bezahlt
203,6,2024-11-15,Electricity,966,323.26,Bezahlt
204,6,2024-12-15,Electricity,947,389.41,Bezahlt
205,6,2025-01-15,Electricity,816,314.03,Bezahlt
206,6,2025-02-15,Electricity,1018,352.19,Offen
207,6,2025-03-15,Electricity,776,272.85,Bezahlt
208,6,2025-04-15,Electricity,717,230.68,Bezahlt
209,6,2025-05-15,Electricity,784,255.85,Bezahlt
210,6,2025-06-15,Electricity,584,196.27,Bezahlt
211,7,2023-01-15,Electricity,568,183.89,Bezahlt
212,7,2023-02-15,Electricity,661,217.47,Bezahlt
213,7,2023-03-15,Electricity,526,221.98,Bezahlt
214,7,2023-04-15,Electricity,415,158.33,Bezahlt
215,7,2023-05-15,Electricity,482,187.75,Bezahlt
216,7,2023-06-15,Electricity,297,124.36,Bezahlt
217,7,2023-07-15,Electricity,369,151.12,Überfällig
218,7,2023-08-15,Electricity,340,123.99,Bezahlt
219,7,2023-09-15,Electricity,468,181.18,Bezahlt
220,7,2023-10-15,Electricity,448,150.38,Bezahlt
221,7,2023-11-15,Electricity,535,219.98,Bezahlt
222,7,2023-12-15,Electricity,698,257.18,Bezahlt
223,7,2024-01-15,Electricity,654,239.41,Bezahlt
224,7,2024-02-15,Electricity,693,248.91,Bezahlt
225,7,2024-03-15,Electricity,470,196.19,Bezahlt
226,7,2024-04-15,Electricity,502,182.38,Bezahlt
227,7,2024-05-15,Electricity,529,217.42,Bezahlt
228,7,2024-06-15,Electricity,396,137.23,Bezahlt
229,7,2024-07-15,Electricity,328,143.32,Bezahlt
230,7,2024-08-15,Electricity,328,122.96,Bezahlt
231,7,2024-09-15,Electricity,494,206.78,Bezahlt
232,7,2024-10-15,Electricity,484,187.77,Bezahlt
233,7,2024-11-15,Electricity,629,244.9,Bezahlt
234,7,2024-12-15,Electricity,706,272.61,Bezahlt
235,7,2025-01-15,Electricity,612,224.03,Bezahlt
236,7,2025-02-15,Electricity,565,217.61,Bezahlt
237,7,2025-03-15,Electricity,474,188.49,Bezahlt
238,7,2025-04-15,Electricity,414,158.78,Bezahlt
239,7,2025-05-15,Electricity,507,189.83,Bezahlt
240,7,2025-06-15,Electricity,384,143.33,Bezahlt
241,8,2023-01-15,Electricity,646,260.2,Bezahlt
242,8,2023-02-15,Electricity,771,252.19,Überfällig
243,8,2023-03-15,Electricity,647,258.29,Bezahlt
244,8,2023-04-15,Electricity,619,222.05,Bezahlt
245,8,2023-05-15,Electricity,489,182.57,Offen
246,8,2023-06-15,Electricity,456,193.0,Bezahlt
247,8,2023-07-15,Electricity,381,155.16,Bezahlt
248,8,2023-08-15,Electricity,380,158.51,Bezahlt
249,8,2023-09-15,Electricity,501,198.54,Bezahlt
250,8,2023-10-15,Electricity,550,181.88,Bezahlt
251,8,2023-11-15,Electricity,597,223.29,Bezahlt
252,8,2023-12-15,Electricity,692,247.01,Bezahlt
253,8,2024-01-15,Electricity,710,231.25,Offen
254,8,2024-02-15,Electricity,804,298.97,Bezahlt
255,8,2024-03-15,Electricity,657,222.51,Bezahlt
256,8,2024-04-15,Electricity,617,238.62,Bezahlt
257,8,2024-05-15,Electricity,585,210.88,Bezahlt
258,8,2024-06-15,Electricity,400,153.34,Bezahlt
259,8,2024-07-15,Electricity,384,140.14,Bezahlt
260,8,2024-08-15,Electricity,395,133.26,Überfällig
261,8,2024-09-15,Electricity,544,215.63,Bezahlt
262,8,2024-10-15,Electricity,563,210.29,Bezahlt
263,8,2024-11-15,Electricity,664,221.89,Bezahlt
264,8,2024-12-15,Electricity,686,263.61,Bezahlt
265,8,2025-01-15,Electricity,628,235.13,Bezahlt
266,8,2025-02-15,Electricity,620,220.85,Bezahlt
267,8,2025-03-15,Electricity,608,225.09,Bezahlt
268,8,2025-04-15,Electricity,497,165.28,Bezahlt
269,8,2025-05-15,Electricity,524,176.3,Bezahlt
270,8,2025-06-15,Electricity,359,150.65,Bezahlt
271,9,2023-01-15,Electricity,530,211.03,Bezahlt
272,9,2023-02-15,Electricity,574,203.9,Offen
273,9,2023-03-15,Electricity,388,164.6,Bezahlt
274,9,2023-04-15,Electricity,458,165.69,Offen
275,9,2023-05-15,Electricity,424,143.74,Bezahlt
276,9,2023-06-15,Electricity,261,109.44,Bezahlt
277,9,2023-07-15,Electricity,306,105.82,Bezahlt
278,9,2023-08-15,Electricity,313,131.57,Bezahlt
279,9,2023-09-15,Electricity,385,155.0,Bezahlt
280,9,2023-10-15,Electricity,462,191.24,Offen
281,9,2023-11-15,Electricity,501,177.63,Bezahlt
282,9,2023-12-15,Electricity,517,205.34,Bezahlt
283,9,2024-01-15,Electricity,539,187.04,Bezahlt
284,9,2024-02-15,Electricity,536,220.0,Bezahlt
285,9,2024-03-15,Electricity,504,167.47,Bezahlt
286,9,2024-04-15,Electricity,431,152.66,Bezahlt
287,9,2024-05-15,Electricity,394,161.04,Bezahlt
288,9,2024-06-15,Electricity,330,114.39,Bezahlt
289,9,2024-07-15,Electricity,314,113.48,Bezahlt
290,9,2024-08-15,Electricity,290,116.8,Bezahlt
291,9,2024-09-15,Electricity,349,126.84,Bezahlt
292,9,2024-10-15,Electricity,378,163.59,Bezahlt
293,9,2024-11-15,Electricity,490,172.29,Bezahlt
294,9,2024-12-15,Electricity,536,193.17,Bezahlt
295,9,2025-01-15,Electricity,564,189.31,Bezahlt
296,9,2025-02-15,Electricity,465,189.55,Bezahlt
297,9,2025-03-15,Electricity,415,162.13,Bezahlt
298,9,2025-04-15,Electricity,416,143.12,Überfällig
299,9,2025-05-15,Electricity,371,138.52,Bezahlt
300,9,2025-06-15,Electricity,322,109.29,Überfällig
301,10,2023-01-15,Electricity,570,184.65,Bezahlt
302,10,2023-02-15,Electricity,697,226.55,Überfällig
303,10,2023-03-15,Electricity,520,185.83,Bezahlt
304,10,2023-04-15,Electricity,540,182.98,Bezahlt
305,10,2023-05-15,Electricity,542,216.28,Bezahlt
306,10,2023-06-15,Electricity,335,142.83,Bezahlt
307,10,2023-07-15,Electricity,354,126.43,Bezahlt
308,10,2023-08-15,Electricity,379,156.22,Bezahlt
309,10,2023-09-15,Electricity,538,220.29,Offen
310,10,2023-10-15,Electricity,564,199.49,Bezahlt
311,10,2023-11-15,Electricity,619,251.72,Bezahlt
312,10,2023-12-15,Electricity,727,295.52,Bezahlt
313,10,2024-01-15,Electricity,727,302.44,Bezahlt
314,10,2024-02-15,Electricity,693,231.55,Bezahlt
315,10,2024-03-15,Electricity,628,254.93,Bezahlt
316,10,2024-04-15,Electricity,548,178.72,Bezahlt
317,10,2024-05-15,Electricity,546,199.36,Bezahlt
318,10,2024-06-15,Electricity,357,135.74,Offen
319,10,2024-07-15,Electricity,328,118.94,Bezahlt
320,10,2024-08-15,Electricity,344,119.35,Bezahlt
321,10,2024-09-15,Electricity,495,193.46,Bezahlt
322,10,2024-10-15,Electricity,495,202.66,Bezahlt
323,10,2024-11-15,Electricity,538,203.28,Bezahlt
324,10,2024-12-15,Electricity,657,273.4,Bezahlt
325,10,2025-01-15,Electricity,621,222.7,Bezahlt
326,10,2025-02-15,Electricity,696,248.99,Bezahlt
327,10,2025-03-15,Electricity,616,207.79,Bezahlt
328,10,2025-04-15,Electricity,579,199.69,Bezahlt
329,10,2025-05-15,Electricity,472,155.09,Offen
330,10,2025-06-15,Electricity,336,127.32,Bezahlt
331,11,2023-01-15,Electricity,189,72.36,Bezahlt
332,11,2023-01-15,Gas,1065,117.45,Bezahlt
333,11,2023-02-15,Electricity,216,89.16,Bezahlt
334,11,2023-02-15,Gas,942,105.1,Bezahlt
335,11,2023-03-15,Electricity,177,77.23,Bezahlt
336,11,2023-03-15,Gas,809,98.78,Offen
337,11,2023-04-15,Electricity,189,77.72,Bezahlt
338,11,2023-04-15,Gas,344,47.48,Bezahlt
339,11,2023-05-15,Electricity,179,67.25,Bezahlt
340,11,2023-05-15,Gas,189,26.71,Bezahlt
341,11,2023-06-15,Electricity,120,56.58,Bezahlt
342,11,2023-06-15,Gas,109,19.64,Bezahlt
343,11,2023-07-15,Electricity,103,45.85,Bezahlt
344,11,2023-07-15,Gas,70,16.44,Bezahlt
345,11,2023-08-15,Electricity,105,51.47,Bezahlt
346,11,2023-08-15,Gas,78,16.45,Bezahlt
347,11,2023-09-15,Electricity,154,67.09,Bezahlt
348,11,2023-09-15,Gas,177,29.53,Offen
349,11,2023-10-15,Electricity,185,75.69,Bezahlt
350,11,2023-10-15,Gas,353,53.42,Bezahlt
351,11,2023-11-15,Electricity,180,79.58,Bezahlt
352,11,2023-11-15,Gas,662,86.44,Bezahlt
353,11,2023-12-15,Electricity,247,99.38,Bezahlt
354,11,2023-12-15,Gas,910,122.69,Bezahlt
355,11,2024-01-15,Electricity,241,102.02,Bezahlt
356,11,2024-01-15,Gas,1070,124.38,Bezahlt
357,11,2024-02-15,Electricity,231,85.93,Bezahlt
358,11,2024-02-15,Gas,831,83.92,Bezahlt
359,11,2024-03-15,Electricity,166,64.2,Bezahlt
360,11,2024-03-15,Gas,732,87.45,Bezahlt
361,11,2024-04-15,Electricity,148,60.59,Bezahlt
362,11,2024-04-15,Gas,365,49.22,Bezahlt
363,11,2024-05-15,Electricity,169,67.51,Bezahlt
364,11,2024-05-15,Gas,205,30.91,Überfällig
365,11,2024-06-15,Electricity,139,55.56,Bezahlt
366,11,2024-06-15,Gas,93,18.1,Bezahlt
367,11,2024-07-15,Electricity,129,55.44,Bezahlt
368,11,2024-07-15,Gas,73,17.77,Bezahlt
369,11,2024-08-15,Electricity,104,47.68,Bezahlt
370,11,2024-08-15,Gas,75,16.02,Bezahlt
371,11,2024-09-15,Electricity,176,77.48,Bezahlt
372,11,2024-09-15,Gas,143,23.91,Bezahlt
373,11,2024-10-15,Electricity,177,73.18,Offen
374,11,2024-10-15,Gas,310,46.24,Bezahlt
375,11,2024-11-15,Electricity,185,85.54,Offen
376,11,2024-11-15,Gas,610,70.11,Bezahlt
377,11,2024-12-15,Electricity,239,93.85,Bezahlt
378,11,2024-12-15,Gas,927,108.95,Bezahlt
379,11,2025-01-15,Electricity,199,79.64,Bezahlt
380,11,2025-01-15,Gas,803,101.63,Bezahlt
381,11,2025-02-15,Electricity,235,104.1,Bezahlt
382,11,2025-02-15,Gas,749,82.27,Bezahlt
383,11,2025-03-15,Electricity,183,82.74,Bezahlt
384,11,2025-03-15,Gas,817,113.47,Überfällig
385,11,2025-04-15,Electricity,178,70.04,Bezahlt
386,11,2025-04-15,Gas,410,49.88,Offen
387,11,2025-05-15,Electricity,148,59.41,Bezahlt
388,11,2025-05-15,Gas,186,32.59,Bezahlt
389,11,2025-06-15,Electricity,141,67.81,Bezahlt
390,11,2025-06-15,Gas,103,21.07,Bezahlt
391,12,2023-01-15,Electricity,1258,502.79,Bezahlt
392,12,2023-02-15,Electricity,1270,428.11,Bezahlt
393,12,2023-03-15,Electricity,1140,441.53,Bezahlt
394,12,2023-04-15,Electricity,822,312.06,Bezahlt
395,12,2023-05-15,Electricity,995,359.08,Bezahlt
396,12,2023-06-15,Electricity,642,242.57,Bezahlt
397,12,2023-07-15,Electricity,573,225.26,Bezahlt
398,12,2023-08-15,Electricity,679,218.57,Bezahlt
399,12,2023-09-15,Electricity,1016,389.17,Bezahlt
400,12,2023-10-15,Electricity,939,298.56,Bezahlt
401,12,2023-11-15,Electricity,1111,364.29,Bezahlt
402,12,2023-12-15,Electricity,1186,485.34,Bezahlt
403,12,2024-01-15,Electricity,1213,487.69,Offen
404,12,2024-02-15,Electricity,1119,435.6,Bezahlt
405,12,2024-03-15,Electricity,972,347.24,Bezahlt
406,12,2024-04-15,Electricity,1040,380.43,Bezahlt
407,12,2024-05-15,Electricity,1044,407.26,Bezahlt
408,12,2024-06-15,Electricity,616,226.71,Bezahlt
409,12,2024-07-15,Electricity,608,235.79,Bezahlt
410,12,2024-08-15,Electricity,676,271.45,Bezahlt
411,12,2024-09-15,Electricity,1068,340.82,Bezahlt
412,12,2024-10-15,Electricity,1040,386.62,Offen
413,12,2024-11-15,Electricity,1276,453.26,Bezahlt
414,12,2024-12-15,Electricity,1486,494.55,Bezahlt
415,12,2025-01-15,Electricity,1128,392.64,Offen
416,12,2025-02-15,Electricity,1302,497.38,Bezahlt
417,12,2025-03-15,Electricity,1122,435.2,Offen
418,12,2025-04-15,Electricity,844,307.79,Offen
419,12,2025-05-15,Electricity,824,263.55,Bezahlt
420,12,2025-06-15,Electricity,687,253.69,Bezahlt
421,13,2023-01-15,Electricity,565,190.45,Überfällig
422,13,2023-02-15,Electricity,494,172.41,Bezahlt
423,13,2023-03-15,Electricity,360,156.06,Bezahlt
424,13,2023-04-15,Electricity,322,132.44,Bezahlt
425,13,2023-05-15,Electricity,391,167.1,Bezahlt
426,13,2023-06-15,Electricity,261,92.73,Bezahlt
427,13,2023-07-15,Electricity,263,111.01,Bezahlt
428,13,2023-08-15,Electricity,290,108.74,Bezahlt
429,13,2023-09-15,Electricity,428,161.45,Bezahlt
430,13,2023-10-15,Electricity,337,128.5,Bezahlt
431,13,2023-11-15,Electricity,436,179.5,Bezahlt
432,13,2023-12-15,Electricity,590,201.11,Bezahlt
433,13,2024-01-15,Electricity,550,185.23,Offen
434,13,2024-02-15,Electricity,529,173.26,Bezahlt
435,13,2024-03-15,Electricity,364,126.7,Bezahlt
436,13,2024-04-15,Electricity,355,151.41,Bezahlt
437,13,2024-05-15,Electricity,424,145.85,Bezahlt
438,13,2024-06-15,Electricity,293,121.9,Bezahlt
439,13,2024-07-15,Electricity,292,110.45,Bezahlt
440,13,2024-08-15,Electricity,231,88.03,Offen
441,13,2024-09-15,Electricity,362,146.63,Bezahlt
442,13,2024-10-15,Electricity,343,148.0,Bezahlt
443,13,2024-11-15,Electricity,436,181.15,Bezahlt
444,13,2024-12-15,Electricity,583,227.68,Überfällig
445,13,2025-01-15,Electricity,491,165.91,Bezahlt
446,13,2025-02-15,Electricity,515,172.79,Bezahlt
447,13,2025-03-15,Electricity,467,185.99,Bezahlt
448,13,2025-04-15,Electricity,383,157.99,Bezahlt
449,13,2025-05-15,Electricity,348,130.95,Bezahlt
450,13,2025-06-15,Electricity,294,113.97,Bezahlt
451,14,2023-01-15,Electricity,668,245.44,Bezahlt
452,14,2023-02-15,Electricity,582,225.8,Bezahlt
453,14,2023-03-15,Electricity,625,234.01,Offen
454,14,2023-04-15,Electricity,525,200.76,Bezahlt
455,14,2023-05-15,Electricity,507,176.01,Bezahlt
456,14,2023-06-15,Electricity,379,159.36,Bezahlt
457,14,2023-07-15,Electricity,363,139.56,Bezahlt
458,14,2023-08-15,Electricity,395,138.05,Bezahlt
459,14,2023-09-15,Electricity,453,193.2,Bezahlt
460,14,2023-10-15,Electricity,508,208.34,Überfällig
461,14,2023-11-15,Electricity,674,267.3,Bezahlt
462,14,2023-12-15,Electricity,746,257.75,Bezahlt
463,14,2024-01-15,Electricity,617,245.06,Bezahlt
464,14,2024-02-15,Electricity,610,243.28,Offen
465,14,2024-03-15,Electricity,531,203.54,Offen
466,14,2024-04-15,Electricity,469,166.46,Bezahlt
467,14,2024-05-15,Electricity,574,232.56,Bezahlt
468,14,2024-06-15,Electricity,341,122.46,Bezahlt
469,14,2024-07-15,Electricity,349,147.51,Bezahlt
470,14,2024-08-15,Electricity,395,150.54,Überfällig
471,14,2024-09-15,Electricity,452,170.65,Bezahlt
472,14,2024-10-15,Electricity,529,221.68,Bezahlt
473,14,2024-11-15,Electricity,535,195.4,Bezahlt
474,14,2024-12-15,Electricity,798,324.71,Bezahlt
475,14,2025-01-15,Electricity,676,254.68,Offen
476,14,2025-02-15,Electricity,684,258.19,Bezahlt
477,14,2025-03-15,Electricity,623,234.18,Offen
478,14,2025-04-15,Electricity,470,173.26,Bezahlt
479,14,2025-05-15,Electricity,507,176.59,Bezahlt
480,14,2025-06-15,Electricity,421,166.33,Bezahlt
481,15,2023-01-15,Electricity,461,154.7,Bezahlt
482,15,2023-02-15,Electricity,529,204.85,Bezahlt
483,15,2023-03-15,Electricity,450,163.63,Bezahlt
484,15,2023-04-15,Electricity,375,145.7,Bezahlt
485,15,2023-05-15,Electricity,401,156.47,Bezahlt
486,15,2023-06-15,Electricity,253,94.54,Bezahlt
