transaction_id,date,account_key,department_key,vendor_key,product_key,customer_key,amount,approval_status,procurement_method,approver_id,approval_date,purchase_order_number,contract_reference
24,2025-04-11,2,22,130,6,14311,205.39,Approved,Direktvergabe,388,2025-04-13,,VTR-2022-1113
25,2025-04-14,3,24,184,15,2354,593.93,Approved,Vertrag,136,2025-04-21,PO-783619,VTR-2020-2702
26,2025-02-05,3,10,97,1,10154,1655.36,Pending,Direktvergabe,,,,
27,2022-10-10,1,19,87,2,3461,3831.17,Approved,Ausschreibung,193,2022-10-13,PO-208320,VTR-2024-6749
28,2023-01-29,1,40,184,7,13079,2218.88,Approved,Direktvergabe,316,2023-02-02,PO-212843,
29,2024-11-04,1,30,7,2,3396,1407.11,Approved,Ausschreibung,93,2024-11-07,PO-212092,VTR-2021-9975
30,2023-09-13,3,36,172,1,5314,1158.85,Approved,Vertrag,737,2023-09-16,,VTR-2020-6770
31,2023-06-23,2,35,198,10,17128,1576.81,Approved,Vertrag,22,2023-06-28,PO-353925,VTR-2022-1758
32,2024-02-26,1,26,89,11,10781,1557.08,Approved,Ausschreibung,406,2024-02-27,PO-401153,
33,2023-06-18,1,24,100,10,16634,2604.52,Rejected,Vertrag,129,2023-06-22,,VTR-2022-7699
34,2025-02-26,1,28,185,4,15978,4651.53,Approved,Ausschreibung,596,2025-03-05,PO-916562,VTR-2025-9747
35,2024-01-15,3,24,26,6,14749,1952.54,Rejected,Ausschreibung,86,2024-01-19,PO-194647,VTR-2020-9190
36,2024-12-27,1,40,73,3,4316,1428.09,Approved,Ausschreibung,764,2025-01-01,PO-101549,VTR-2023-4960
37,2023-08-24,1,24,25,10,268,3768.2,Approved,Ausschreibung,677,2023-08-29,,
38,2023-10-30,1,35,73,4,5814,3745.27,Pending,Ausschreibung,,,PO-207274,VTR-2023-5831
39,2023-04-23,3,33,185,13,370,692.84,Approved,Direktvergabe,305,2023-04-24,PO-771154,
40,2023-10-31,1,28,60,15,4275,1007.63,Approved,Ausschreibung,905,2023-11-04,,VTR-2020-9305
41,2024-11-17,1,35,149,3,15287,674.88,Pending,Vertrag,,,PO-763577,VTR-2023-5323
42,2023-02-23,2,27,103,10,7481,1919.1,Approved,Direktvergabe,882,2023-02-24,,VTR-2021-7725
43,2025-01-13,2,33,156,14,5989,1415.46,Approved,Ausschreibung,989,2025-01-18,PO-307515,VTR-2023-3428
44,2025-03-18,3,10,84,1,9066,850.88,Approved,Ausschreibung,116,2025-03-22,PO-649814,
45,2023-07-01,3,26,113,14,11557,1574.69,Approved,Direktvergabe,27,2023-07-05,PO-665509,
46,2023-02-03,2,19,192,7,17111,1568.53,Pending,Vertrag,,,PO-222312,
47,2024-03-23,3,29,198,3,1554,1603.37,Approved,Vertrag,923,2024-03-25,PO-105224,VTR-2024-8100
48,2023-12-15,1,13,169,10,8639,2884.18,Approved,Ausschreibung,68,2023-12-18,,VTR-2022-6737
49,2024-03-25,1,17,169,14,14867,2120.29,Approved,Ausschreibung,66,2024-03-26,PO-137960,VTR-2020-6006
50,2024-03-03,3,17,57,2,19209,1934.55,Approved,Direktvergabe,275,2024-03-04,PO-636018,VTR-2021-3136
51,2022-12-16,3,35,22,10,7272,1578.84,Approved,Vertrag,239,2022-12-21,PO-889304,
52,2023-12-13,2,17,46,5,4524,1241.97,Approved,Vertrag,645,2023-12-14,,VTR-2025-8837
53,2024-01-04,2,11,142,3,18436,629.77,Approved,Ausschreibung,663,2024-01-09,PO-913891,
54,2023-03-03,1,25,61,4,13457,729.02,Rejected,Direktvergabe,54,2023-03-08,PO-604611,
55,2022-02-22,3,14,16,13,12889,1655.07,Approved,Direktvergabe,782,2022-02-26,,VTR-2020-2617
56,2025-06-28,3,13,4,2,18756,1784.13,Approved,Direktvergabe,902,2025-07-01,PO-309760,VTR-2021-2886
57,2023-05-09,2,22,7,5,6524,1568.42,Approved,Ausschreibung,295,2023-05-11,PO-378499,VTR-2021-7788
58,2022-03-13,1,24,172,7,453,2050.55,Approved,Direktvergabe,293,2022-03-18,,
59,2025-05-21,2,13,152,12,2415,344.45,Approved,Ausschreibung,105,2025-05-22,,
60,2025-06-16,2,29,62,10,2293,1687.83,Approved,Vertrag,640,2025-06-21,PO-223343,
61,2022-02-27,3,18,122,7,5003,1518.78,Approved,Vertrag,807,2022-02-28,,
62,2022-01-30,1,19,77,5,8570,2377.24,Approved,Vertrag,244,2022-02-01,PO-241696,VTR-2025-3272
63,2024-06-17,3,38,64,1,13496,139.7,Approved,Vertrag,723,2024-06-22,PO-910317,VTR-2024-9540
64,2022-09-10,1,40,73,6,8159,4784.47,Approved,Direktvergabe,82,2022-09-16,PO-114161,VTR-2021-2145
65,2022-10-21,1,18,192,12,16833,825.96,Approved,Ausschreibung,346,2022-10-25,PO-270274,
66,2024-02-13,1,33,144,6,1212,1127.86,Approved,Vertrag,69,2024-02-19,,
67,2025-03-31,2,17,176,5,7961,1827.81,Approved,Ausschreibung,687,2025-04-03,,VTR-2023-9903
68,2022-04-19,3,32,142,9,12939,1933.78,Approved,Direktvergabe,421,2022-04-25,PO-936169,VTR-2020-9639
69,2025-06-27,2,37,7,12,2215,1141.15,Pending,Direktvergabe,,,PO-638565,VTR-2024-5235
70,2024-12-06,1,32,135,10,18010,1254.52,Approved,Ausschreibung,118,2024-12-07,PO-652749,
71,2025-04-04,1,24,70,6,10040,2805.62,Approved,Vertrag,991,2025-04-06,PO-769473,VTR-2024-4038
72,2023-03-13,1,30,123,1,1306,4675.5,Pending,Ausschreibung,,,,
73,2023-05-30,2,26,188,9,7820,1425.35,Approved,Vertrag,802,2023-06-01,PO-654705,
74,2024-01-25,2,10,149,8,840,31.15,Approved,Direktvergabe,574,2024-01-30,PO-551357,VTR-2024-7990
75,2022-04-02,1,35,140,7,9893,1555.3,Approved,Vertrag,29,2022-04-03,PO-795861,VTR-2025-4943
76,2023-12-11,2,39,83,11,6627,197.07,Approved,Ausschreibung,794,2023-12-13,,VTR-2025-8824
77,2024-12-01,1,11,176,1,3315,1575.44,Approved,Direktvergabe,402,2024-12-07,PO-957801,VTR-2022-2488
78,2024-12-17,1,24,153,5,15245,3094.8,Approved,Vertrag,56,2024-12-20,,VTR-2024-2259
79,2024-04-10,1,31,81,12,4280,1401.62,Pending,Direktvergabe,,,,
80,2024-07-12,3,14,71,10,10461,824.93,Approved,Vertrag,278,2024-07-17,,
81,2024-01-24,2,38,26,9,14891,926.73,Pending,Ausschreibung,,,PO-408304,VTR-2020-1328
82,2025-05-09,2,10,160,13,3110,1207.12,Approved,Direktvergabe,250,2025-05-13,PO-424963,
83,2023-02-28,1,22,56,13,12253,4634.35,Approved,Ausschreibung,955,2023-03-04,PO-480221,VTR-2020-5859
84,2023-10-09,2,38,73,7,16470,471.73,Approved,Direktvergabe,22,2023-10-12,PO-420524,VTR-2023-6306
85,2022-03-21,1,21,83,5,17628,4191.15,Approved,Vertrag,672,2022-03-28,PO-128704,VTR-2022-2846
86,2022-11-10,1,29,12,2,15386,4526.94,Approved,Vertrag,154,2022-11-17,PO-326348,
87,2022-02-24,2,30,34,4,887,984.74,Pending,Vertrag,,,PO-274605,VTR-2022-2473
88,2023-02-26,2,14,57,12,11778,1636.09,Approved,Direktvergabe,462,2023-02-28,,VTR-2025-3090
89,2025-03-30,1,37,139,9,1647,1725.61,Approved,Vertrag,184,2025-04-04,,VTR-2024-7576
90,2024-05-28,3,17,86,8,12703,1217.6,Approved,Direktvergabe,510,2024-05-30,PO-734615,
91,2024-12-29,3,28,200,9,10670,1651.51,Pending,Direktvergabe,,,PO-299380,VTR-2023-8037
92,2023-08-27,1,30,57,8,3287,4236.53,Approved,Direktvergabe,466,2023-09-01,,
93,2023-01-16,2,21,53,12,13725,508.21,Approved,Ausschreibung,384,2023-01-20,PO-952619,VTR-2024-8842
94,2022-10-06,2,17,106,7,2554,1847.48,Approved,Direktvergabe,929,2022-10-11,PO-883187,VTR-2025-8718
95,2023-05-01,1,20,129,10,9958,3873.39,Approved,Ausschreibung,403,2023-05-02,PO-701837,
96,2022-01-16,1,14,196,11,2540,3871.77,Rejected,Ausschreibung,126,2022-01-20,,VTR-2022-4370
97,2023-07-19,3,34,29,11,6073,84.89,Approved,Vertrag,684,2023-07-24,PO-289375,VTR-2023-2830
98,2025-04-14,2,36,99,12,481,517.85,Approved,Ausschreibung,131,2025-04-21,PO-150626,
99,2023-07-19,3,11,123,2,18161,1474.28,Approved,Ausschreibung,872,2023-07-20,PO-581393,
100,2025-06-20,2,34,157,1,18369,1114.51,Approved,Direktvergabe,348,2025-06-25,PO-208486,VTR-2023-6585
101,2024-10-02,2,36,170,14,14362,550.21,Approved,Direktvergabe,484,2024-10-07,PO-681853,
102,2023-02-21,2,32,100,11,3944,1552.77,Pending,Ausschreibung,,,PO-792580,VTR-2022-1933
103,2022-06-26,1,24,46,6,11798,4233.12,Approved,Direktvergabe,378,2022-07-02,PO-169973,
104,2024-06-12,1,28,45,11,14416,4310.21,Approved,Vertrag,143,2024-06-18,PO-454606,VTR-2021-3473
105,2023-11-01,2,22,26,7,165,403.48,Approved,Vertrag,202,2023-11-07,PO-673763,VTR-2023-9156
106,2024-06-10,1,21,5,12,9931,4318.24,Approved,Direktvergabe,225,2024-06-16,PO-844977,VTR-2023-6758
107,2022-01-20,2,29,28,14,11015,400.11,Pending,Direktvergabe,,,PO-472477,VTR-2020-8744
108,2022-11-29,2,37,200,10,8530,1075.26,Approved,Vertrag,10,2022-12-05,PO-741611,VTR-2021-6859
109,2022-10-31,1,14,27,2,3088,2178.71,Approved,Vertrag,521,2022-11-03,PO-705075,
110,2024-05-27,2,35,37,3,14425,591.42,Approved,Direktvergabe,119,2024-06-03,PO-421722,
111,2023-09-14,1,17,57,6,714,3371.45,Pending,Vertrag,,,PO-987725,VTR-2021-6693
112,2025-01-02,3,16,136,2,584,336.77,Approved,Vertrag,278,2025-01-08,PO-789746,
113,2022-04-08,2,38,189,12,18438,708.53,Approved,Vertrag,353,2022-04-15,PO-896876,VTR-2022-6881
114,2023-11-28,1,31,127,4,8507,583.21,Approved,Ausschreibung,903,2023-12-01,,
115,2022-05-27,2,36,158,5,14655,300.71,Pending,Ausschreibung,,,PO-175214,VTR-2025-6884
116,2022-11-12,1,29,159,9,15886,2238.11,Approved,Direktvergabe,228,2022-11-19,PO-622056,
117,2022-10-21,3,15,63,5,18827,1070.2,Approved,Ausschreibung,281,2022-10-23,PO-403140,VTR-2020-1940
118,2025-02-10,2,37,161,13,10138,147.01,Approved,Ausschreibung,414,2025-02-12,PO-411963,VTR-2021-9522
119,2024-08-11,2,21,100,10,3640,914.0,Approved,Vertrag,762,2024-08-17,,
120,2024-05-04,3,24,105,11,11553,1732.02,Pending,Vertrag,,,PO-130972,VTR-2025-9759
121,2024-01-13,3,38,153,2,2490,1390.49,Approved,Ausschreibung,725,2024-01-20,PO-351147,
122,2022-04-10,1,24,178,8,12265,3925.82,Approved,Direktvergabe,767,2022-04-16,PO-476691,
123,2024-07-16,3,27,111,13,10313,1088.74,Approved,Ausschreibung,3,2024-07-20,PO-551879,VTR-2023-3629
124,2023-05-07,3,33,40,10,18145,546.99,Pending,Ausschreibung,,,PO-100839,
125,2022-07-17,2,10,109,11,11015,1040.14,Approved,Ausschreibung,467,2022-07-18,,VTR-2021-2009
126,2024-12-09,2,30,133,8,3342,869.01,Approved,Vertrag,291,2024-12-13,PO-811153,
127,2023-10-04,1,36,166,14,2782,1574.65,Approved,Direktvergabe,330,2023-10-09,PO-603538,VTR-2021-5415
128,2023-09-20,1,35,20,8,11645,4604.79,Pending,Vertrag,,,,
129,2025-02-23,1,30,77,9,14610,500.74,Approved,Direktvergabe,189,2025-03-02,PO-309161,VTR-2025-3912
130,2022-01-01,1,37,114,8,19297,4812.24,Approved,Ausschreibung,156,2022-01-08,PO-586738,VTR-2025-7479
131,2025-03-03,2,36,125,14,8007,595.12,Approved,Direktvergabe,746,2025-03-06,PO-984120,VTR-2022-2175
132,2024-11-28,2,27,25,15,18683,1347.67,Approved,Ausschreibung,690,2024-12-01,,VTR-2021-2141
133,2022-09-11,2,22,79,7,18026,981.21,Approved,Ausschreibung,87,2022-09-15,,VTR-2022-6199
134,2022-06-03,1,35,160,15,7590,3125.28,Approved,Vertrag,55,2022-06-10,PO-649580,
135,2022-03-27,3,19,7,7,10163,435.78,Approved,Direktvergabe,144,2022-03-29,,
136,2024-06-25,2,27,152,8,8462,731.53,Pending,Vertrag,,,PO-815347,VTR-2020-9618
137,2022-11-27,1,15,24,13,3687,2300.03,Pending,Ausschreibung,,,PO-748557,
138,2024-08-08,1,23,92,4,1422,2202.9,Approved,Vertrag,960,2024-08-14,PO-930814,
139,2024-09-20,1,23,86,10,9943,1937.61,Rejected,Direktvergabe,640,2024-09-26,PO-875720,VTR-2022-3576
140,2022-11-15,2,27,13,4,2997,1699.48,Approved,Vertrag,399,2022-11-19,,VTR-2024-6278
141,2023-09-01,3,35,7,14,8240,588.75,Approved,Direktvergabe,969,2023-09-08,,VTR-2024-6168
142,2024-08-22,2,13,77,3,12445,958.2,Approved,Ausschreibung,770,2024-08-25,PO-972130,VTR-2025-5155
143,2023-03-13,2,34,131,8,18161,1893.03,Approved,Ausschreibung,554,2023-03-19,PO-403469,
144,2022-02-01,2,30,40,12,6328,858.95,Approved,Direktvergabe,151,2022-02-08,PO-875367,VTR-2020-3559
145,2023-02-13,2,38,142,1,11783,1445.14,Approved,Vertrag,1000,2023-02-20,,VTR-2021-7192
146,2023-04-19,1,39,64,3,4640,3557.73,Approved,Vertrag,558,2023-04-24,,VTR-2025-6794
147,2023-12-31,3,17,83,4,2251,1716.53,Rejected,Ausschreibung,110,2024-01-06,,VTR-2021-3721
148,2025-02-24,1,31,34,7,6973,3557.91,Approved,Ausschreibung,713,2025-03-03,PO-646150,
149,2022-02-24,2,24,46,8,1963,1035.54,Approved,Ausschreibung,697,2022-03-03,,VTR-2022-7182
150,2024-04-18,1,18,177,3,18065,3102.58,Approved,Vertrag,151,2024-04-19,PO-136550,VTR-2025-5238
151,2024-08-07,3,20,40,2,16608,1746.44,Approved,Vertrag,452,2024-08-11,PO-130710,VTR-2025-3874
152,2023-03-21,2,29,66,8,8436,915.22,Approved,Ausschreibung,306,2023-03-24,,VTR-2023-1632
153,2022-07-29,2,10,72,4,17263,1797.88,Approved,Ausschreibung,820,2022-08-05,PO-451957,
154,2023-09-03,3,37,92,4,12097,732.52,Approved,Ausschreibung,534,2023-09-05,PO-459375,VTR-2023-8072
155,2022-12-04,2,37,112,7,1356,1985.3,Approved,Direktvergabe,651,2022-12-09,,VTR-2025-1225
156,2025-05-29,2,34,23,14,8066,1403.88,Approved,Direktvergabe,685,2025-06-02,PO-694741,
157,2024-03-24,3,21,51,5,18984,385.19,Approved,Direktvergabe,899,2024-03-31,,
158,2025-03-19,2,38,31,10,9872,1022.01,Rejected,Direktvergabe,909,2025-03-23,PO-155307,VTR-2024-9108
159,2022-12-12,3,10,23,8,12506,1544.74,Approved,Vertrag,183,2022-12-14,PO-146839,
160,2022-07-19,1,12,80,5,15529,3323.28,Approved,Vertrag,86,2022-07-21,PO-296138,VTR-2021-7264
161,2023-10-16,1,12,181,7,7059,2832.23,Pending,Vertrag,,,,
162,2022-11-29,2,12,174,9,7036,176.53,Approved,Ausschreibung,811,2022-12-02,PO-948179,VTR-2025-9880
163,2023-06-27,3,40,69,9,6859,1331.97,Approved,Ausschreibung,247,2023-07-03,PO-398270,VTR-2022-1339
164,2024-12-25,2,20,168,14,16390,450.39,Rejected,Vertrag,344,2025-01-01,PO-880106,
165,2023-06-20,2,35,125,10,417,1525.26,Approved,Ausschreibung,193,2023-06-26,,VTR-2024-6367
166,2025-04-20,1,18,150,15,12338,519.56,Approved,Direktvergabe,388,2025-04-24,PO-539639,
167,2023-08-18,3,36,19,14,2723,413.4,Approved,Direktvergabe,910,2023-08-25,PO-158082,VTR-2021-5838
168,2024-08-19,2,19,46,4,14716,1062.6,Approved,Ausschreibung,921,2024-08-21,,
169,2022-04-26,2,14,142,11,1008,439.17,Approved,Vertrag,149,2022-05-01,,VTR-2021-2806
170,2024-10-13,3,31,71,13,12663,192.43,Pending,Ausschreibung,,,PO-434525,VTR-2023-5885
171,2022-12-30,2,31,96,13,6176,26.57,Approved,Direktvergabe,179,2023-01-04,PO-627322,VTR-2021-5820
172,2024-08-01,2,36,160,5,13233,1270.05,Pending,Ausschreibung,,,PO-950077,VTR-2020-6167
173,2023-09-11,3,40,137,3,7848,1194.16,Approved,Ausschreibung,717,2023-09-16,,
174,2024-06-10,2,36,175,12,15813,721.48,Approved,Vertrag,595,2024-06-16,PO-940423,VTR-2021-2739
175,2023-03-09,2,17,187,1,14336,1983.95,Approved,Ausschreibung,834,2023-03-14,PO-667253,VTR-2025-6968
176,2024-05-23,3,16,198,2,10875,433.02,Approved,Ausschreibung,158,2024-05-27,,VTR-2025-9184
177,2022-05-06,1,31,74,9,14279,4081.33,Approved,Vertrag,804,2022-05-13,PO-857047,VTR-2023-2926
178,2023-10-17,2,16,172,9,18095,528.25,Approved,Direktvergabe,648,2023-10-20,PO-184218,
179,2022-06-29,1,11,1,7,16406,3577.81,Approved,Ausschreibung,611,2022-07-01,PO-687090,
180,2024-09-30,2,33,126,14,5698,318.55,Approved,Ausschreibung,850,2024-10-02,PO-535512,VTR-2020-4428
181,2022-02-15,3,14,30,5,17505,320.81,Approved,Direktvergabe,972,2022-02-18,PO-844182,
182,2024-06-14,3,37,185,4,14984,928.87,Approved,Vertrag,593,2024-06-18,PO-807214,
183,2024-11-11,3,32,90,14,14625,421.1,Approved,Vertrag,898,2024-11-12,PO-109966,VTR-2021-2069
184,2024-09-29,3,15,135,11,11654,909.28,Approved,Ausschreibung,648,2024-10-04,PO-417844,VTR-2025-1058
185,2024-02-25,2,29,84,5,4743,691.23,Approved,Ausschreibung,614,2024-02-26,PO-636626,VTR-2023-7588
186,2023-05-19,2,23,54,7,5570,1553.74,Approved,Vertrag,336,2023-05-22,PO-538606,VTR-2021-7191
187,2024-12-26,2,39,117,4,12576,1478.52,Approved,Ausschreibung,483,2024-12-29,,VTR-2023-6504
188,2024-06-22,3,18,126,3,12250,1554.77,Approved,Direktvergabe,299,2024-06-29,PO-178373,
189,2024-06-17,2,15,79,5,9318,267.61,Approved,Ausschreibung,10,2024-06-20,PO-318204,VTR-2021-9568
190,2022-03-11,2,26,192,3,14358,1557.53,Pending,Direktvergabe,,,,VTR-2025-6317
191,2023-08-10,1,22,68,8,7318,4970.39,Approved,Direktvergabe,982,2023-08-14,PO-597147,VTR-2022-8909
192,2024-09-19,2,12,21,10,14966,98.5,Approved,Vertrag,375,2024-09-22,PO-787985,
193,2022-03-09,1,13,200,5,18689,3487.14,Approved,Ausschreibung,811,2022-03-13,,
194,2023-04-23,2,31,41,8,17432,320.37,Approved,Ausschreibung,489,2023-04-26,PO-692274,VTR-2020-2846
195,2023-07-31,1,18,94,6,1984,1398.5,Approved,Ausschreibung,383,2023-08-03,,VTR-2020-9958
196,2022-08-23,3,22,12,9,7566,1525.43,Approved,Ausschreibung,305,2022-08-30,PO-613196,VTR-2020-5256
197,2024-11-28,2,34,174,13,13050,1896.34,Approved,Direktvergabe,789,2024-12-01,,VTR-2023-1330
198,2024-12-22,2,12,118,13,4699,267.82,Pending,Vertrag,,,,VTR-2022-2253
199,2023-03-14,1,14,162,14,11796,3101.74,Approved,Direktvergabe,423,2023-03-21,,
200,2025-06-05,1,35,57,6,3664,4797.42,Pending,Ausschreibung,,,,
201,2024-06-19,1,16,9,3,3579,3974.06,Approved,Direktvergabe,86,2024-06-25,PO-108164,VTR-2025-7477
202,2025-01-22,2,29,181,11,7290,716.64,Approved,Vertrag,277,2025-01-24,PO-928081,
203,2022-11-02,1,24,101,6,16922,2624.89,Approved,Ausschreibung,48,2022-11-06,PO-430183,
204,2025-02-15,2,18,67,13,13803,678.19,Approved,Direktvergabe,600,2025-02-16,PO-514480,
205,2024-08-06,1,37,71,1,18573,610.63,Approved,Vertrag,476,2024-08-11,PO-756550,VTR-2024-7202
206,2024-03-05,1,32,197,9,6939,1293.91,Pending,Direktvergabe,,,PO-737397,
207,2024-05-05,2,29,95,10,8016,246.04,Approved,Vertrag,527,2024-05-08,PO-400794,VTR-2025-3721
208,2023-10-04,1,35,12,2,12091,1918.83,Pending,Direktvergabe,,,PO-784700,VTR-2022-2991
209,2023-03-29,2,16,6,2,11094,103.73,Approved,Direktvergabe,833,2023-04-05,PO-782214,VTR-2023-3603
210,2022-10-20,2,18,193,8,18558,932.72,Pending,Vertrag,,,,
211,2023-01-03,3,14,19,6,9910,1341.35,Approved,Vertrag,869,2023-01-08,PO-389815,
212,2024-10-10,1,24,18,7,18491,868.45,Pending,Ausschreibung,,,PO-450386,
213,2022-05-09,2,39,38,4,5314,1774.49,Approved,Vertrag,706,2022-05-15,,
214,2025-02-11,2,14,156,11,19065,234.03,Approved,Direktvergabe,949,2025-02-15,,VTR-2022-4219
215,2025-03-05,2,23,8,9,9845,115.75,Approved,Direktvergabe,433,2025-03-10,,
216,2022-09-30,1,18,16,4,7100,391.06,Approved,Ausschreibung,16,2022-10-04,,VTR-2021-7619
217,2023-10-16,2,19,43,2,3253,810.75,Approved,Direktvergabe,675,2023-10-19,,
218,2024-05-24,1,11,169,7,11144,3073.07,Approved,Direktvergabe,624,2024-05-29,,VTR-2020-2760
219,2024-09-16,2,20,137,1,14394,625.21,Approved,Ausschreibung,898,2024-09-17,PO-853978,
220,2022-11-16,1,35,64,6,141,4386.72,Approved,Ausschreibung,106,2022-11-23,,
221,2024-02-17,1,14,179,7,15581,953.74,Approved,Ausschreibung,566,2024-02-23,PO-569964,VTR-2021-6029
222,2023-11-05,2,17,89,5,6054,121.2,Approved,Direktvergabe,625,2023-11-12,PO-231186,VTR-2024-3593
223,2024-01-04,2,23,146,11,3402,86.85,Approved,Ausschreibung,637,2024-01-05,,VTR-2023-1866
224,2022-11-11,2,27,25,5,4203,986.62,Approved,Vertrag,186,2022-11-18,,
225,2023-06-14,2,36,59,11,5232,1702.84,Approved,Ausschreibung,795,2023-06-15,PO-192423,
226,2023-02-09,1,30,135,5,9137,2447.52,Approved,Direktvergabe,924,2023-02-14,,VTR-2025-8637
227,2024-05-09,1,17,22,2,6031,4360.01,Approved,Ausschreibung,527,2024-05-10,PO-668374,VTR-2022-5474
228,2024-11-17,2,39,40,14,3497,1514.48,Approved,Vertrag,108,2024-11-21,,VTR-2025-9969
229,2022-05-27,1,38,115,15,13708,4734.67,Approved,Ausschreibung,867,2022-06-02,PO-606983,VTR-2024-6100
230,2022-12-24,3,16,16,10,1483,1297.05,Approved,Vertrag,786,2022-12-30,PO-886508,VTR-2020-7980
231,2023-04-11,1,23,164,12,15092,4154.89,Approved,Ausschreibung,181,2023-04-16,PO-529678,VTR-2023-3922
232,2023-11-25,2,34,153,10,845,402.77,Approved,Ausschreibung,152,2023-12-02,PO-996438,VTR-2023-9598
233,2023-01-24,2,37,4,9,7611,1760.15,Rejected,Vertrag,550,2023-01-27,PO-710981,VTR-2024-8480
234,2023-03-22,2,35,113,6,18461,1962.86,Approved,Ausschreibung,420,2023-03-23,PO-846321,
235,2023-03-17,3,30,158,2,11379,397.53,Approved,Direktvergabe,987,2023-03-18,PO-501939,
236,2022-01-05,1,29,86,7,19568,4254.89,Approved,Ausschreibung,959,2022-01-11,PO-645125,VTR-2020-4697
237,2025-04-10,2,20,163,7,4999,1795.57,Approved,Vertrag,961,2025-04-17,PO-506805,
238,2023-08-08,2,12,132,12,18048,1684.52,Approved,Direktvergabe,626,2023-08-15,PO-864288,
239,2022-06-24,2,17,86,7,2461,1231.93,Approved,Vertrag,121,2022-06-27,PO-640424,
240,2023-10-18,2,28,122,7,16669,1016.61,Approved,Direktvergabe,816,2023-10-25,PO-547621,
241,2022-12-01,1,22,31,5,17399,3786.41,Approved,Direktvergabe,942,2022-12-07,PO-856262,
242,2025-02-21,2,38,23,11,13213,189.21,Approved,Direktvergabe,284,2025-02-24,PO-238772,VTR-2020-1100
243,2024-09-22,3,34,87,7,6411,632.83,Rejected,Ausschreibung,110,2024-09-25,PO-101846,
244,2023-02-16,1,30,12,11,10993,2595.21,Approved,Vertrag,727,2023-02-17,,VTR-2020-7828
245,2025-02-16,2,13,76,11,1991,1702.96,Approved,Vertrag,932,2025-02-18,,
246,2023-04-16,3,19,200,11,13144,921.34,Rejected,Vertrag,304,2023-04-20,PO-666596,
247,2022-09-04,3,40,67,11,8130,724.7,Approved,Direktvergabe,411,2022-09-09,,
248,2023-03-31,2,16,25,13,17281,1528.78,Approved,Vertrag,275,2023-04-03,PO-433062,VTR-2024-7040
249,2022-08-11,3,15,178,10,2170,1434.81,Approved,Vertrag,997,2022-08-15,,
250,2025-03-04,3,33,138,1,9066,542.77,Approved,Vertrag,715,2025-03-10,PO-699730,
251,2023-03-25,1,33,45,9,14869,4386.15,Approved,Vertrag,336,2023-04-01,,VTR-2025-1608
252,2024-02-04,2,29,78,4,19554,149.6,Approved,Ausschreibung,329,2024-02-08,,VTR-2024-6657
